t,value
1539786673,1
1539786676,1
1539786679,1
1539786682,1
1539786685,1
1539786688,1
1539786691,1
1539786694,1
1539786697,1
1539786700,2
1539786703,2
1539786706,2
1539786709,2
1539786712,2
1539786715,2
1539786718,2
1539786721,2
1539786724,2
1539786727,2
1539786730,2
1539786733,2
1539786736,2
1539786739,2
1539786742,2
1539786745,2
1539786748,2
1539786751,2
1539786754,2
1539786757,2
1539786760,2
1539786763,2
1539786766,2
1539786769,2
1539786772,2
1539786775,2
1539786778,2
1539786781,2
t,value
1539786800,1
1539786803,1
1539786806,1
1539786809,1
1539786812,2
1539786815,2
1539786818,2
1539786821,2
1539786824,2
1539786827,2
1539786830,2
1539786833,2
1539786836,2
1539786839,2
1539786842,4
1539786845,9
1539786848,10
1539786851,11
1539786854,18
1539786857,20
1539786860,22
1539786863,32
1539786866,36
1539786869,38
1539786872,46
1539786875,46
1539786878,46
1539786881,46
1539786884,52
1539786887,52
1539786890,52
1539786893,52
1539786896,52
1539786899,52
1539786902,54
1539786905,58
1539786908,58
1539786911,58
1539786914,58
1539786917,58
1539786920,58
1539786923,64
1539786926,64
1539786929,64
1539786932,64
1539786935,64
1539786938,64
1539786941,64
1539786944,70
1539786947,70
1539786950,70
1539786953,70
1539786956,70
1539786959,70
1539786962,74
1539786965,76
1539786968,76
1539786971,76
1539786974,76
1539786977,76
1539786980,76
1539786983,82
1539786986,82
1539786989,82
1539786992,82
1539786995,82
1539786998,82
1539787001,82
1539787004,88
1539787007,88
1539787010,88
1539787013,88
1539787016,88
1539787019,88
1539787022,91
1539787025,94
1539787028,94
1539787031,94
1539787034,94
1539787037,94
1539787040,94
1539787043,100
1539787046,100
1539787049,100
1539787052,100
1539787055,100
1539787058,100
1539787061,100
1539787064,106
1539787067,106
1539787070,106
1539787073,106
1539787076,106
1539787079,106
1539787082,108
1539787085,112
1539787088,112
1539787091,112
1539787094,112
1539787097,112
1539787100,112
1539787103,118
1539787106,118
1539787109,118
1539787112,118
1539787115,118
1539787118,118
1539787121,118
1539787124,124
1539787127,124
1539787130,124
1539787133,124
1539787136,124
1539787139,124
1539787142,127
1539787145,130
1539787148,130
1539787151,130
1539787154,130
1539787157,130
1539787160,130
1539787163,136
1539787166,136
1539787169,136
1539787172,136
1539787175,136
1539787178,136
1539787181,136
1539787184,142
1539787187,142
1539787190,142
1539787193,142
1539787196,142
1539787199,142
1539787202,145
1539787205,148
1539787208,148
1539787211,148
1539787214,148
1539787217,148
1539787220,148
1539787223,154
t,value
1539796323,1
1539796326,2
1539796329,2
1539796332,2
1539796335,2
1539796338,2
1539796341,2
1539796344,2
1539796347,2
1539796350,2
1539796353,2
1539796356,2
1539796359,2
1539796362,2
1539796365,2
1539796368,2
1539796371,2
1539796374,2
1539796377,2
1539796380,2
1539796383,2
1539796386,2
1539796389,2
1539796392,2
1539796395,2
1539796398,30
1539796401,30
1539796404,30
1539796407,30
1539796410,30
1539796413,30
1539796416,30
1539796419,30
1539796422,30
1539796425,51
1539796428,51
1539796431,51
1539796434,51
1539796437,51
1539796440,52
1539796443,52
1539796446,52
1539796449,52
1539796452,52
1539796455,57
1539796458,57
1539796461,57
1539796464,57
1539796467,57
1539796470,62
1539796473,62
1539796476,62
1539796479,62
1539796482,69
1539796485,69
1539796488,69
1539796491,69
1539796494,69
1539796497,72
1539796500,72
1539796503,72
1539796506,72
1539796509,72
1539796512,72
1539796515,79
1539796518,79
1539796521,79
1539796524,79
1539796527,79
1539796530,86
1539796533,86
1539796536,86
1539796539,86
1539796542,86
1539796545,87
1539796548,89
1539796551,89
1539796554,89
1539796557,89
1539796560,89
1539796563,89
1539796566,92
1539796569,92
1539796572,92
1539796575,92
1539796578,92
1539796581,92
1539796584,101
1539796587,103
1539796590,103
1539796593,103
1539796596,103
1539796599,103
1539796602,103
1539796605,109
1539796608,109
1539796611,109
1539796614,109
1539796617,109
1539796620,109
1539796623,109
1539796626,109
1539796629,109
1539796632,109
1539796635,119
1539796638,119
1539796641,119
1539796644,119
1539796647,119
1539796650,119
1539796653,119
1539796656,119
1539796659,119
1539796662,119
1539796665,119
1539796668,120
1539796671,120
1539796674,120
1539796677,120
1539796680,120
1539796683,120
1539796686,120
1539796689,120
1539796692,120
1539796695,120
1539796698,125
1539796701,125
1539796704,125
1539796707,125
1539796710,125
1539796713,125
1539796716,125
1539796719,125
1539796722,125
1539796725,126
1539796728,126
1539796731,126
1539796734,126
1539796737,126
1539796740,126
1539796743,126
1539796746,126
1539796749,126
1539796752,126
1539796755,126
1539796758,133
1539796761,133
1539796764,133
1539796767,133
1539796770,133
1539796773,133
1539796776,133
1539796779,133
1539796782,136
1539796785,136
1539796788,136
1539796791,136
1539796794,136
