t,value
1539786673,2097152
1539786676,18874368
1539786679,1048576
1539786682,1048576
1539786685,4194304
1539786688,5242880
1539786691,7340032
1539786694,5242880
1539786697,1048576
1539786700,0
1539786703,5242880
1539786706,1048576
1539786709,1048576
1539786712,1048576
1539786715,1048576
1539786718,1048576
1539786721,2097152
1539786724,2097152
1539786727,2097152
1539786730,2097152
1539786733,3145728
1539786736,3145728
1539786739,4194304
1539786742,4194304
1539786745,4194304
1539786748,4194304
1539786751,5242880
1539786754,5242880
1539786757,5242880
1539786760,6291456
1539786763,6291456
1539786766,6291456
1539786769,0
1539786772,0
1539786775,0
1539786778,0
1539786781,0
t,value
1539786800,1048576
1539786803,8388608
1539786806,7340032
1539786809,4194304
1539786812,2097152
1539786815,2097152
1539786818,2097152
1539786821,1048576
1539786824,6291456
1539786827,0
1539786830,0
1539786833,0
1539786836,2097152
1539786839,1048576
1539786842,1048576
1539786845,3145728
1539786848,1048576
1539786851,3145728
1539786854,2097152
1539786857,2097152
1539786860,3145728
1539786863,3145728
1539786866,4194304
1539786869,2097152
1539786872,0
1539786875,0
1539786878,0
1539786881,1048576
1539786884,0
1539786887,0
1539786890,0
1539786893,1048576
1539786896,1048576
1539786899,1048576
1539786902,3145728
1539786905,1048576
1539786908,1048576
1539786911,1048576
1539786914,2097152
1539786917,2097152
1539786920,2097152
1539786923,0
1539786926,1048576
1539786929,1048576
1539786932,1048576
1539786935,2097152
1539786938,2097152
1539786941,2097152
1539786944,0
1539786947,0
1539786950,1048576
1539786953,1048576
1539786956,1048576
1539786959,2097152
1539786962,3145728
1539786965,1048576
1539786968,1048576
1539786971,1048576
1539786974,1048576
1539786977,1048576
1539786980,2097152
1539786983,0
1539786986,0
1539786989,0
1539786992,1048576
1539786995,1048576
1539786998,1048576
1539787001,1048576
1539787004,4194304
1539787007,0
1539787010,0
1539787013,0
1539787016,1048576
1539787019,1048576
1539787022,2097152
1539787025,4194304
1539787028,4194304
1539787031,0
1539787034,1048576
1539787037,1048576
1539787040,1048576
1539787043,4194304
1539787046,4194304
1539787049,4194304
1539787052,4194304
1539787055,0
1539787058,0
1539787061,0
1539787064,3145728
1539787067,4194304
1539787070,4194304
1539787073,4194304
1539787076,4194304
1539787079,0
1539787082,1048576
1539787085,3145728
1539787088,3145728
1539787091,3145728
1539787094,4194304
1539787097,4194304
1539787100,4194304
1539787103,2097152
1539787106,3145728
1539787109,3145728
1539787112,3145728
1539787115,4194304
1539787118,4194304
1539787121,4194304
1539787124,2097152
1539787127,3145728
1539787130,3145728
1539787133,3145728
1539787136,4194304
1539787139,4194304
1539787142,0
1539787145,2097152
1539787148,2097152
1539787151,3145728
1539787154,3145728
1539787157,3145728
1539787160,4194304
1539787163,2097152
1539787166,2097152
1539787169,2097152
1539787172,2097152
1539787175,3145728
1539787178,3145728
1539787181,3145728
1539787184,1048576
1539787187,2097152
1539787190,2097152
1539787193,2097152
1539787196,2097152
1539787199,3145728
1539787202,4194304
1539787205,1048576
1539787208,1048576
1539787211,1048576
1539787214,2097152
1539787217,2097152
1539787220,2097152
1539787223,1048576
t,value
1539796323,5242880
1539796326,22020096
1539796329,83886080
1539796332,84934656
1539796335,84934656
1539796338,85983232
1539796341,85983232
1539796344,87031808
1539796347,87031808
1539796350,87031808
1539796353,88080384
1539796356,88080384
1539796359,88080384
1539796362,89128960
1539796365,89128960
1539796368,90177536
1539796371,90177536
1539796374,90177536
1539796377,91226112
1539796380,91226112
1539796383,92274688
1539796386,93323264
1539796389,93323264
1539796392,93323264
1539796395,105906176
1539796398,40894464
1539796401,41943040
1539796404,42991616
1539796407,42991616
1539796410,44040192
1539796413,44040192
1539796416,45088768
1539796419,45088768
1539796422,45088768
1539796425,49283072
1539796428,49283072
1539796431,50331648
1539796434,50331648
1539796437,50331648
1539796440,51380224
1539796443,52428800
1539796446,52428800
1539796449,53477376
1539796452,53477376
1539796455,54525952
1539796458,54525952
1539796461,55574528
1539796464,55574528
1539796467,55574528
1539796470,56623104
1539796473,56623104
1539796476,56623104
1539796479,57671680
1539796482,58720256
1539796485,58720256
1539796488,58720256
1539796491,59768832
1539796494,59768832
1539796497,60817408
1539796500,60817408
1539796503,61865984
1539796506,61865984
1539796509,62914560
1539796512,62914560
1539796515,63963136
1539796518,65011712
1539796521,65011712
1539796524,65011712
1539796527,66060288
1539796530,66060288
1539796533,67108864
1539796536,67108864
1539796539,68157440
1539796542,68157440
1539796545,68157440
1539796548,69206016
1539796551,69206016
1539796554,70254592
1539796557,70254592
1539796560,71303168
1539796563,71303168
1539796566,74448896
1539796569,75497472
1539796572,75497472
1539796575,75497472
1539796578,76546048
1539796581,76546048
1539796584,77594624
1539796587,77594624
1539796590,78643200
1539796593,78643200
1539796596,79691776
1539796599,79691776
1539796602,79691776
1539796605,80740352
1539796608,81788928
1539796611,81788928
1539796614,81788928
1539796617,82837504
1539796620,82837504
1539796623,82837504
1539796626,83886080
1539796629,83886080
1539796632,83886080
1539796635,84934656
1539796638,85983232
1539796641,85983232
1539796644,85983232
1539796647,87031808
1539796650,87031808
1539796653,87031808
1539796656,88080384
1539796659,88080384
1539796662,88080384
1539796665,89128960
1539796668,89128960
1539796671,89128960
1539796674,90177536
1539796677,90177536
1539796680,90177536
1539796683,91226112
1539796686,91226112
1539796689,92274688
1539796692,92274688
1539796695,92274688
1539796698,93323264
1539796701,94371840
1539796704,94371840
1539796707,94371840
1539796710,95420416
1539796713,95420416
1539796716,95420416
1539796719,96468992
1539796722,96468992
1539796725,96468992
1539796728,97517568
1539796731,97517568
1539796734,98566144
1539796737,98566144
1539796740,98566144
1539796743,99614720
1539796746,99614720
1539796749,99614720
1539796752,99614720
1539796755,100663296
1539796758,101711872
1539796761,101711872
1539796764,101711872
1539796767,102760448
1539796770,102760448
1539796773,103809024
1539796776,103809024
1539796779,103809024
1539796782,104857600
1539796785,104857600
1539796788,105906176
1539796791,105906176
1539796794,106954752
1539796797,106954752
1539796800,106954752
1539796803,108003328
1539796806,108003328
1539796809,108003328
1539796812,109051904
1539796815,109051904
1539796818,109051904
1539796821,110100480
1539796824,110100480
1539796827,110100480
1539796830,111149056
1539796833,111149056
1539796836,111149056
1539796839,112197632
1539796842,112197632
1539796845,114294784
1539796848,114294784
1539796851,114294784
1539796854,115343360
1539796857,115343360
1539796860,115343360
1539796863,116391936
1539796866,116391936
1539796869,116391936
1539796872,117440512
1539796875,117440512
1539796878,118489088
1539796881,118489088
1539796884,118489088
1539796887,118489088
1539796890,119537664
1539796893,119537664
1539796896,119537664
1539796899,120586240
1539796902,121634816
1539796905,121634816
1539796908,121634816
1539796911,121634816
1539796914,122683392
1539796917,122683392
1539796920,122683392
1539796923,124780544
1539796926,124780544
1539796929,125829120
1539796932,125829120
1539796935,125829120
1539796938,126877696
1539796941,126877696
1539796944,126877696
1539796947,127926272
1539796950,127926272
1539796953,127926272
1539796956,128974848
1539796959,128974848
1539796962,132120576
1539796965,132120576
1539796968,133169152
1539796971,133169152
1539796974,133169152
1539796977,134217728
1539796980,134217728
1539796983,134217728
1539796986,135266304
1539796989,135266304
1539796992,136314880
1539796995,136314880
1539796998,136314880
1539797001,137363456
1539797004,137363456
1539797007,137363456
1539797010,138412032
1539797013,138412032
1539797016,138412032
1539797019,139460608
1539797022,139460608
1539797025,140509184
1539797028,140509184
1539797031,140509184
1539797034,140509184
1539797037,141557760
1539797040,141557760
1539797043,141557760
1539797046,142606336
1539797049,142606336
1539797052,143654912
1539797055,143654912
1539797058,144703488
1539797061,144703488
1539797064,145752064
1539797067,145752064
1539797070,145752064
1539797073,146800640
1539797076,146800640
1539797079,146800640
1539797082,146800640
1539797085,147849216
1539797088,147849216
1539797091,147849216
1539797094,148897792
1539797097,149946368
1539797100,149946368
1539797103,149946368
1539797106,150994944
1539797109,150994944
