t,value
1539786673,0
1539786676,0
1539786679,0
1539786682,0
1539786685,0
1539786688,0
1539786691,0
1539786694,0
1539786697,0
1539786700,0
1539786703,0
1539786706,0
1539786709,0
1539786712,0
1539786715,0
1539786718,0
1539786721,0
1539786724,0
1539786727,0
1539786730,0
1539786733,0
1539786736,0
1539786739,0
1539786742,0
1539786745,0
1539786748,0
1539786751,0
1539786754,0
1539786757,0
1539786760,0
1539786763,0
1539786766,0
1539786769,0
1539786772,0
1539786775,0
1539786778,0
1539786781,0
t,value
1539786800,0
1539786803,0
1539786806,0
1539786809,0
1539786812,0
1539786815,0
1539786818,0
1539786821,0
1539786824,0
1539786827,0
1539786830,0
1539786833,0
1539786836,0
1539786839,0
1539786842,7
1539786845,24
1539786848,25
1539786851,30
1539786854,60
1539786857,68
1539786860,76
1539786863,114
1539786866,130
1539786869,138
1539786872,166
1539786875,166
1539786878,166
1539786881,166
1539786884,188
1539786887,188
1539786890,188
1539786893,188
1539786896,188
1539786899,188
1539786902,194
1539786905,210
1539786908,210
1539786911,210
1539786914,210
1539786917,210
1539786920,210
1539786923,232
1539786926,232
1539786929,232
1539786932,232
1539786935,232
1539786938,232
1539786941,232
1539786944,254
1539786947,254
1539786950,254
1539786953,254
1539786956,254
1539786959,254
1539786962,264
1539786965,276
1539786968,276
1539786971,276
1539786974,276
1539786977,276
1539786980,276
1539786983,298
1539786986,298
1539786989,298
1539786992,298
1539786995,298
1539786998,298
1539787001,298
1539787004,320
1539787007,320
1539787010,320
1539787013,320
1539787016,320
1539787019,320
1539787022,329
1539787025,342
1539787028,342
1539787031,342
1539787034,342
1539787037,342
1539787040,342
1539787043,364
1539787046,364
1539787049,364
1539787052,364
1539787055,364
1539787058,364
1539787061,364
1539787064,386
1539787067,386
1539787070,386
1539787073,386
1539787076,386
1539787079,386
1539787082,392
1539787085,408
1539787088,408
1539787091,408
1539787094,408
1539787097,408
1539787100,408
1539787103,430
1539787106,430
1539787109,430
1539787112,430
1539787115,430
1539787118,430
1539787121,430
1539787124,452
1539787127,452
1539787130,452
1539787133,452
1539787136,452
1539787139,452
1539787142,461
1539787145,474
1539787148,474
1539787151,474
1539787154,474
1539787157,474
1539787160,474
1539787163,496
1539787166,496
1539787169,496
1539787172,496
1539787175,496
1539787178,496
1539787181,496
1539787184,518
1539787187,518
1539787190,518
1539787193,518
1539787196,518
1539787199,518
1539787202,528
1539787205,540
1539787208,540
1539787211,540
1539787214,540
1539787217,540
1539787220,540
1539787223,562
t,value
1539796323,0
1539796326,0
1539796329,0
1539796332,0
1539796335,0
1539796338,0
1539796341,0
1539796344,0
1539796347,0
1539796350,0
1539796353,0
1539796356,0
1539796359,0
1539796362,0
1539796365,0
1539796368,0
1539796371,0
1539796374,0
1539796377,0
1539796380,0
1539796383,0
1539796386,0
1539796389,0
1539796392,0
1539796395,1
1539796398,47
1539796401,47
1539796404,47
1539796407,47
1539796410,47
1539796413,47
1539796416,47
1539796419,47
1539796422,47
1539796425,89
1539796428,89
1539796431,89
1539796434,89
1539796437,89
1539796440,91
1539796443,91
1539796446,91
1539796449,91
1539796452,91
1539796455,101
1539796458,101
1539796461,101
1539796464,101
1539796467,101
1539796470,111
1539796473,111
1539796476,111
1539796479,111
1539796482,125
1539796485,125
1539796488,125
1539796491,125
1539796494,125
1539796497,131
1539796500,131
1539796503,131
1539796506,131
1539796509,131
1539796512,131
1539796515,145
1539796518,145
1539796521,145
1539796524,145
1539796527,145
1539796530,159
1539796533,159
1539796536,159
1539796539,159
1539796542,159
1539796545,160
1539796548,165
1539796551,165
1539796554,165
1539796557,165
1539796560,165
1539796563,165
1539796566,171
1539796569,171
1539796572,171
1539796575,171
1539796578,171
1539796581,171
1539796584,189
1539796587,193
1539796590,193
1539796593,193
1539796596,193
1539796599,193
1539796602,193
1539796605,205
1539796608,205
1539796611,205
1539796614,205
1539796617,205
1539796620,205
1539796623,205
1539796626,205
1539796629,205
1539796632,205
1539796635,225
1539796638,225
1539796641,225
1539796644,225
1539796647,225
1539796650,225
1539796653,225
1539796656,225
1539796659,225
1539796662,225
1539796665,225
1539796668,227
1539796671,227
1539796674,227
1539796677,227
1539796680,227
1539796683,227
1539796686,227
1539796689,227
1539796692,227
1539796695,227
1539796698,237
1539796701,237
1539796704,237
1539796707,237
1539796710,237
1539796713,237
1539796716,237
1539796719,237
1539796722,237
1539796725,239
1539796728,239
1539796731,239
1539796734,239
1539796737,239
1539796740,239
1539796743,239
1539796746,239
1539796749,239
1539796752,239
1539796755,239
1539796758,253
1539796761,253
1539796764,253
1539796767,253
1539796770,253
1539796773,253
1539796776,253
1539796779,253
1539796782,259
1539796785,259
1539796788,259
1539796791,259
1539796794,259
1539796797,259
1539796800,259
1539796803,259
1539796806,259
1539796809,259
1539796812,265
1539796815,265
1539796818,265
1539796821,265
1539796824,265
1539796827,265
1539796830,265
1539796833,265
1539796836,265
1539796839,265
1539796842,265
1539796845,291
1539796848,291
1539796851,291
1539796854,291
1539796857,291
1539796860,291
1539796863,291
1539796866,291
1539796869,291
1539796872,291
1539796875,291
1539796878,293
1539796881,293
1539796884,293
1539796887,293
1539796890,293
1539796893,293
1539796896,293
1539796899,293
1539796902,299
1539796905,299
1539796908,299
1539796911,299
1539796914,299
1539796917,299
1539796920,299
1539796923,299
1539796926,299
1539796929,299
1539796932,299
1539796935,299
1539796938,301
1539796941,301
1539796944,301
1539796947,301
1539796950,301
1539796953,301
1539796956,301
1539796959,301
1539796962,307
1539796965,307
1539796968,307
1539796971,307
1539796974,307
1539796977,307
1539796980,307
1539796983,307
1539796986,307
1539796989,307
1539796992,313
1539796995,313
1539796998,313
1539797001,313
1539797004,313
1539797007,313
1539797010,313
1539797013,313
1539797016,315
1539797019,315
1539797022,315
1539797025,315
1539797028,315
1539797031,315
1539797034,315
1539797037,315
1539797040,315
1539797043,315
1539797046,315
1539797049,315
1539797052,327
1539797055,327
1539797058,327
1539797061,327
1539797064,327
1539797067,327
1539797070,327
1539797073,327
1539797076,327
1539797079,327
1539797082,327
1539797085,327
1539797088,327
1539797091,327
1539797094,327
1539797097,329
1539797100,329
1539797103,329
1539797106,329
1539797109,329
1539797112,329
1539797115,329
1539797118,329
1539797121,329
1539797124,329
1539797127,329
1539797130,329
1539797133,329
1539797136,329
1539797139,335
1539797142,335
1539797145,335
1539797148,335
1539797151,335
1539797154,335
1539797157,335
1539797160,335
1539797163,335
1539797166,335
1539797169,335
1539797172,335
1539797175,335
1539797178,341
1539797181,341
1539797184,341
1539797187,341
1539797190,341
1539797193,341
1539797196,341
1539797199,341
1539797202,341
1539797205,341
1539797208,341
1539797211,343
1539797214,343
1539797217,343
1539797220,343
1539797223,343
1539797226,343
1539797229,343
1539797232,343
1539797235,343
1539797238,351
1539797241,351
1539797244,351
1539797247,351
1539797250,351
1539797253,351
1539797256,351
1539797259,351
1539797262,351
1539797265,351
1539797268,351
1539797271,359
1539797274,359
1539797277,359
1539797280,359
1539797283,359
1539797286,359
1539797289,369
1539797292,369
1539797295,369
1539797298,369
1539797301,369
1539797304,375
1539797307,375
1539797310,375
1539797313,375
1539797316,375
1539797319,375
1539797322,375
1539797325,375
1539797328,377
1539797331,377
1539797334,377
1539797337,377
1539797340,377
1539797343,377
1539797346,377
1539797349,377
1539797352,377
1539797355,377
1539797358,377
1539797361,383
1539797364,383
1539797367,383
1539797370,383
1539797373,383
1539797376,383
1539797379,383
1539797382,383
1539797385,383
1539797388,383
1539797391,383
1539797394,383
1539797397,385
1539797400,385
1539797403,385
1539797406,385
1539797409,385
1539797412,385
1539797415,385
1539797418,385
1539797421,385
1539797424,387
1539797427,387
