t,value
1539786673,30
1539786676,29
1539786679,30
1539786682,31
1539786685,31
1539786688,31
1539786691,32
1539786694,31
1539786697,31
1539786700,33
1539786703,39
1539786706,39
1539786709,39
1539786712,39
1539786715,39
1539786718,39
1539786721,39
1539786724,39
1539786727,39
1539786730,38
1539786733,37
1539786736,37
1539786739,37
1539786742,37
1539786745,37
1539786748,37
1539786751,37
1539786754,37
1539786757,37
1539786760,37
1539786763,37
1539786766,37
1539786769,37
1539786772,37
1539786775,37
1539786778,37
1539786781,37
t,value
1539786800,29
1539786803,29
1539786806,30
1539786809,30
1539786812,38
1539786815,38
1539786818,38
1539786821,40
1539786824,45
1539786827,45
1539786830,45
1539786833,45
1539786836,45
1539786839,46
1539786842,48
1539786845,49
1539786848,49
1539786851,49
1539786854,49
1539786857,47
1539786860,46
1539786863,47
1539786866,47
1539786869,45
1539786872,46
1539786875,45
1539786878,45
1539786881,45
1539786884,46
1539786887,45
1539786890,45
1539786893,45
1539786896,45
1539786899,45
1539786902,46
1539786905,45
1539786908,45
1539786911,45
1539786914,44
1539786917,44
1539786920,44
1539786923,45
1539786926,44
1539786929,44
1539786932,44
1539786935,44
1539786938,44
1539786941,44
1539786944,45
1539786947,44
1539786950,44
1539786953,44
1539786956,44
1539786959,44
1539786962,45
1539786965,44
1539786968,44
1539786971,44
1539786974,43
1539786977,43
1539786980,43
1539786983,44
1539786986,43
1539786989,43
1539786992,43
1539786995,43
1539786998,43
1539787001,43
1539787004,44
1539787007,43
1539787010,43
1539787013,43
1539787016,43
1539787019,43
1539787022,44
1539787025,43
1539787028,43
1539787031,43
1539787034,42
1539787037,42
1539787040,42
1539787043,43
1539787046,42
1539787049,42
1539787052,42
1539787055,42
1539787058,42
1539787061,42
1539787064,43
1539787067,42
1539787070,42
1539787073,42
1539787076,42
1539787079,42
1539787082,43
1539787085,42
1539787088,42
1539787091,42
1539787094,41
1539787097,41
1539787100,41
1539787103,42
1539787106,41
1539787109,41
1539787112,41
1539787115,41
1539787118,41
1539787121,41
1539787124,42
1539787127,41
1539787130,41
1539787133,41
1539787136,41
1539787139,41
1539787142,42
1539787145,41
1539787148,41
1539787151,41
1539787154,41
1539787157,41
1539787160,41
1539787163,42
1539787166,41
1539787169,40
1539787172,40
1539787175,40
1539787178,40
1539787181,40
1539787184,41
1539787187,40
1539787190,40
1539787193,40
1539787196,40
1539787199,40
1539787202,41
1539787205,40
1539787208,40
1539787211,40
1539787214,40
1539787217,40
1539787220,40
1539787223,41
t,value
1539796323,30
1539796326,38
1539796329,37
1539796332,38
1539796335,38
1539796338,38
1539796341,38
1539796344,38
1539796347,38
1539796350,38
1539796353,38
1539796356,38
1539796359,38
1539796362,38
1539796365,38
1539796368,38
1539796371,38
1539796374,38
1539796377,38
1539796380,37
1539796383,36
1539796386,36
1539796389,36
1539796392,36
1539796395,39
1539796398,39
1539796401,37
1539796404,37
1539796407,37
1539796410,37
1539796413,37
1539796416,37
1539796419,37
1539796422,37
1539796425,38
1539796428,37
1539796431,37
1539796434,37
1539796437,37
1539796440,38
1539796443,37
1539796446,37
1539796449,37
1539796452,37
1539796455,38
1539796458,37
1539796461,37
1539796464,37
1539796467,37
1539796470,37
1539796473,37
1539796476,37
1539796479,37
1539796482,38
1539796485,37
1539796488,37
1539796491,37
1539796494,37
1539796497,38
1539796500,37
1539796503,37
1539796506,37
1539796509,37
1539796512,37
1539796515,37
1539796518,37
1539796521,37
1539796524,37
1539796527,37
1539796530,38
1539796533,37
1539796536,37
1539796539,37
1539796542,37
1539796545,37
1539796548,37
1539796551,37
1539796554,37
1539796557,37
1539796560,37
1539796563,37
1539796566,38
1539796569,37
1539796572,37
1539796575,37
1539796578,37
1539796581,37
1539796584,38
1539796587,37
1539796590,37
1539796593,37
1539796596,37
1539796599,37
1539796602,37
1539796605,38
1539796608,37
1539796611,37
1539796614,37
1539796617,37
1539796620,37
1539796623,37
1539796626,37
1539796629,37
1539796632,37
1539796635,37
1539796638,37
1539796641,37
1539796644,37
1539796647,37
1539796650,37
1539796653,37
1539796656,37
1539796659,37
1539796662,37
1539796665,37
1539796668,37
1539796671,37
1539796674,37
1539796677,37
1539796680,37
1539796683,37
1539796686,37
1539796689,37
1539796692,37
1539796695,37
1539796698,38
1539796701,37
1539796704,37
1539796707,37
1539796710,37
1539796713,37
1539796716,37
1539796719,37
1539796722,37
1539796725,37
1539796728,37
1539796731,37
1539796734,37
1539796737,37
1539796740,37
1539796743,37
1539796746,37
1539796749,37
1539796752,37
1539796755,37
1539796758,38
1539796761,37
1539796764,37
1539796767,37
1539796770,37
1539796773,37
1539796776,37
1539796779,37
1539796782,37
1539796785,37
1539796788,37
1539796791,37
1539796794,37
1539796797,37
1539796800,37
1539796803,37
1539796806,37
1539796809,37
1539796812,38
1539796815,37
1539796818,37
1539796821,37
1539796824,37
1539796827,37
1539796830,37
1539796833,37
1539796836,37
1539796839,37
1539796842,37
1539796845,38
1539796848,37
1539796851,37
1539796854,37
1539796857,37
1539796860,37
1539796863,37
1539796866,37
1539796869,37
1539796872,37
1539796875,37
1539796878,38
1539796881,37
1539796884,37
1539796887,37
1539796890,37
1539796893,37
1539796896,37
1539796899,37
1539796902,37
1539796905,37
1539796908,37
1539796911,37
1539796914,37
1539796917,37
1539796920,37
1539796923,38
1539796926,38
1539796929,38
1539796932,37
1539796935,37
1539796938,37
1539796941,37
1539796944,37
1539796947,37
1539796950,37
1539796953,37
1539796956,37
1539796959,37
1539796962,38
1539796965,37
1539796968,37
1539796971,37
1539796974,37
1539796977,37
1539796980,37
1539796983,37
1539796986,37
1539796989,37
1539796992,38
1539796995,37
1539796998,37
1539797001,37
1539797004,37
1539797007,37
1539797010,37
1539797013,37
1539797016,38
1539797019,37
1539797022,37
1539797025,37
1539797028,37
1539797031,37
1539797034,37
1539797037,37
1539797040,37
1539797043,37
1539797046,37
1539797049,37
1539797052,38
1539797055,37
1539797058,37
1539797061,37
1539797064,37
1539797067,37
1539797070,37
1539797073,37
1539797076,37
1539797079,37
1539797082,37
1539797085,37
1539797088,37
1539797091,37
1539797094,37
1539797097,37
1539797100,37
1539797103,37
1539797106,37
1539797109,37
1539797112,37
1539797115,37
1539797118,37
1539797121,37
1539797124,37
1539797127,37
1539797130,37
1539797133,37
1539797136,37
1539797139,37
1539797142,37
1539797145,37
1539797148,37
1539797151,37
1539797154,37
1539797157,37
1539797160,37
1539797163,37
1539797166,37
1539797169,37
1539797172,37
1539797175,37
1539797178,38
1539797181,37
1539797184,37
1539797187,37
1539797190,37
1539797193,37
1539797196,37
1539797199,37
1539797202,37
1539797205,37
1539797208,37
1539797211,38
1539797214,37
1539797217,37
1539797220,37
1539797223,37
1539797226,37
1539797229,37
1539797232,37
1539797235,37
1539797238,38
1539797241,37
1539797244,37
1539797247,37
1539797250,37
1539797253,37
1539797256,37
1539797259,37
1539797262,37
1539797265,37
1539797268,37
1539797271,38
1539797274,37
1539797277,37
1539797280,37
1539797283,37
1539797286,37
1539797289,37
1539797292,37
1539797295,37
1539797298,37
1539797301,37
1539797304,38
1539797307,37
1539797310,37
1539797313,37
1539797316,37
1539797319,37
1539797322,37
1539797325,37
1539797328,38
1539797331,37
1539797334,37
1539797337,37
1539797340,37
1539797343,37
1539797346,37
1539797349,37
1539797352,37
1539797355,37
1539797358,37
1539797361,38
1539797364,37
1539797367,37
1539797370,37
1539797373,37
1539797376,37
1539797379,37
1539797382,37
1539797385,37
1539797388,37
1539797391,37
1539797394,37
1539797397,38
1539797400,37
1539797403,37
1539797406,37
1539797409,37
1539797412,37
1539797415,37
1539797418,37
1539797421,37
1539797424,38
1539797427,37
1539797430,37
1539797433,37
1539797436,37
1539797439,37
1539797442,37
1539797445,37
1539797448,37
1539797451,37
1539797454,37
1539797457,37
1539797460,37
1539797463,37
1539797466,37
1539797469,37
1539797472,37
1539797475,37
1539797478,38
1539797481,37
1539797484,37
1539797487,37
1539797490,37
1539797493,37
1539797496,37
1539797499,37
1539797502,38
1539797505,37
1539797508,37
1539797511,37
1539797514,37
1539797517,37
1539797520,37
1539797523,37
1539797526,37
1539797529,37
1539797532,37
1539797535,37
1539797538,37
1539797541,38
1539797544,37
1539797547,37
1539797550,37
1539797553,37
1539797556,37
1539797559,37
1539797562,37
1539797565,37
1539797568,37
1539797571,37
1539797574,37
1539797577,38
1539797580,37
1539797583,37
1539797586,37
1539797589,37
1539797592,37
1539797595,37
1539797598,37
1539797601,38
1539797604,37
1539797607,37
1539797610,37
1539797613,37
1539797616,37
1539797619,37
1539797622,37
1539797625,37
1539797628,38
1539797631,37
1539797634,37
1539797637,37
1539797640,37
1539797643,37
1539797646,37
1539797649,37
1539797652,37
1539797655,38
1539797658,37
1539797661,37
1539797664,37
1539797667,37
1539797670,37
1539797673,37
1539797676,37
1539797679,37
1539797682,37
1539797685,37
1539797688,37
1539797691,37
1539797694,37
1539797697,37
1539797700,37
1539797703,37
1539797706,37
1539797709,37
1539797712,37
1539797715,37
1539797718,37
1539797721,37
1539797724,37
1539797727,37
1539797730,37
1539797733,37
1539797736,37
1539797739,37
1539797742,37
1539797745,37
1539797748,37
1539797751,37
1539797754,37
1539797757,37
1539797760,37
1539797763,37
1539797766,37
1539797769,37
1539797772,37
1539797775,37
1539797778,37
1539797781,38
1539797784,37
1539797787,37
1539797790,37
1539797793,37
1539797796,37
1539797799,37
1539797802,37
1539797805,37
1539797808,37
1539797811,37
1539797814,37
1539797817,37
1539797820,37
1539797823,38
1539797826,37
1539797829,37
1539797832,37
1539797835,37
1539797838,37
1539797841,37
1539797844,37
1539797847,37
1539797850,37
1539797853,37
1539797856,38
1539797859,37
1539797862,37
1539797865,37
1539797868,37
1539797871,37
1539797874,37
1539797877,37
1539797880,37
1539797883,37
1539797886,37
1539797889,37
1539797892,38
1539797895,37
1539797898,37
1539797901,37
1539797904,37
1539797907,37
1539797910,37
1539797913,37
1539797916,37
1539797919,38
1539797922,37
1539797925,37
1539797928,37
1539797931,37
1539797934,37
1539797937,37
1539797940,37
1539797943,37
1539797946,37
1539797949,38
1539797952,37
1539797955,37
1539797958,37
1539797961,37
1539797964,37
1539797967,37
1539797970,37
1539797973,37
1539797976,37
1539797979,37
1539797982,38
1539797985,37
1539797988,37
1539797991,37
1539797994,37
1539797997,37
1539798000,37
1539798003,37
1539798006,37
1539798009,37
1539798012,37
1539798015,37
1539798018,37
1539798021,37
1539798024,37
1539798027,37
1539798030,38
1539798033,38
1539798036,38
1539798039,38
1539798042,38
1539798045,38
1539798048,38
1539798051,38
1539798054,38
1539798057,38
1539798060,38
1539798063,38
1539798066,38
1539798069,38
1539798072,38
1539798075,38
1539798078,38
1539798081,39
1539798084,38
1539798087,38
1539798090,37
1539798093,37
1539798096,37
1539798099,37
1539798102,37
1539798105,37
1539798108,37
1539798111,37
1539798114,37
1539798117,37
1539798120,38
1539798123,37
1539798126,37
1539798129,37
1539798132,37
1539798135,37
1539798138,37
1539798141,37
1539798144,37
1539798147,37
1539798150,37
1539798153,37
1539798156,37
1539798159,37
1539798162,37
1539798165,37
1539798168,37
1539798171,37
1539798174,37
1539798177,37
1539798180,37
1539798183,37
1539798186,37
1539798189,37
1539798192,38
1539798195,37
1539798198,37
1539798201,37
1539798204,37
1539798207,37
1539798210,37
1539798213,37
1539798216,37
1539798219,37
1539798222,37
1539798225,37
1539798228,37
1539798231,37
1539798234,37
1539798237,37
1539798240,37
1539798243,37
1539798246,37
1539798249,37
1539798252,37
1539798255,37
1539798258,37
1539798261,37
1539798264,37
1539798267,37
1539798270,37
1539798273,37
1539798276,37
1539798279,37
1539798282,37
1539798285,37
1539798288,37
1539798291,37
1539798294,37
1539798297,37
1539798300,37
1539798303,37
1539798306,37
1539798309,37
1539798312,37
1539798315,37
1539798318,37
1539798321,37
1539798324,37
1539798327,37
1539798330,37
1539798333,37
1539798336,37
1539798339,37
1539798342,37
1539798345,37
1539798348,37
1539798351,37
1539798354,37
1539798357,37
1539798360,37
1539798363,37
1539798366,37
1539798369,37
1539798372,37
1539798375,37
1539798378,37
1539798381,37
1539798384,37
1539798387,37
1539798390,37
1539798393,37
1539798396,37
1539798399,37
1539798402,37
1539798405,37
1539798408,37
1539798411,37
1539798414,37
1539798417,37
1539798420,37
1539798423,37
1539798426,37
1539798429,37
1539798432,37
1539798435,37
1539798438,37
1539798441,37
1539798444,37
1539798447,37
1539798450,37
1539798453,37
1539798456,37
1539798459,37
1539798462,37
1539798465,37
1539798468,37
1539798471,37
1539798474,37
1539798477,37
1539798480,37
1539798483,37
1539798486,37
1539798489,37
1539798492,37
1539798495,37
1539798498,37
1539798501,37
1539798504,37
1539798507,37
1539798510,37
1539798513,37
1539798516,37
1539798519,37
1539798522,37
1539798525,37
1539798528,37
1539798531,37
1539798534,37
1539798537,37
1539798540,37
1539798543,37
1539798546,37
1539798549,37
1539798552,37
1539798555,37
1539798558,37
1539798561,37
1539798564,37
1539798567,37
1539798570,37
1539798573,37
1539798576,37
1539798579,37
1539798582,37
1539798585,37
1539798588,37
1539798591,37
1539798594,37
1539798597,37
1539798600,37
1539798603,37
1539798606,37
1539798609,37
1539798612,37
1539798615,37
1539798618,37
1539798621,37
1539798624,37
1539798627,37
1539798630,37
1539798633,37
1539798636,37
1539798639,37
1539798642,37
1539798645,37
1539798648,37
1539798651,37
1539798654,37
1539798657,37
1539798660,37
1539798663,37
1539798666,37
1539798669,37
1539798672,37
1539798675,37
1539798678,37
1539798681,37
1539798684,37
1539798687,37
1539798690,37
1539798693,37
1539798696,37
1539798699,37
1539798702,37
1539798705,37
1539798708,37
1539798711,37
1539798714,37
1539798717,37
1539798720,37
1539798723,37
1539798726,37
1539798729,37
1539798732,37
1539798735,37
1539798738,37
1539798741,37
1539798744,37
1539798747,37
1539798750,37
1539798753,37
1539798756,37
1539798759,37
1539798762,37
1539798765,37
1539798768,37
1539798771,37
1539798774,37
1539798777,37
1539798780,37
1539798783,37
1539798786,37
1539798789,37
1539798792,37
1539798795,37
1539798798,37
1539798801,37
1539798804,37
1539798807,37
1539798810,37
1539798813,37
1539798816,37
1539798819,37
1539798822,37
1539798825,37
1539798828,37
1539798831,37
1539798834,37
1539798837,37
1539798840,37
1539798843,37
1539798846,37
1539798849,37
1539798852,37
1539798855,37
1539798858,37
1539798861,37
1539798864,37
1539798867,37
1539798870,37
1539798873,37
1539798876,37
1539798879,37
1539798882,37
1539798885,37
1539798888,37
1539798891,37
1539798894,37
1539798897,37
1539798900,37
1539798903,37
1539798906,37
1539798909,37
1539798912,37
1539798915,37
1539798918,37
1539798921,37
1539798924,37
1539798927,37
1539798930,38
1539798933,38
1539798936,38
1539798939,38
1539798942,38
1539798945,38
1539798948,38
1539798951,38
1539798954,38
1539798957,38
1539798960,38
1539798963,38
1539798966,38
1539798969,38
1539798972,38
1539798975,38
1539798978,38
1539798981,38
1539798984,38
1539798987,38
1539798990,37
1539798993,37
1539798996,37
1539798999,37
1539799002,37
1539799005,37
1539799008,37
1539799011,37
1539799014,37
1539799017,37
1539799020,37
1539799023,37
1539799026,37
1539799029,37
1539799032,37
1539799035,37
1539799038,37
1539799041,37
1539799044,37
1539799047,37
1539799050,37
1539799053,37
1539799056,37
1539799059,37
1539799062,37
1539799065,37
1539799068,37
1539799071,37
1539799074,37
1539799077,37
1539799080,37
1539799083,37
1539799086,37
1539799089,37
1539799092,37
1539799095,37
1539799098,37
1539799101,37
1539799104,37
1539799107,37
1539799110,37
1539799113,37
1539799116,37
1539799119,37
1539799122,37
1539799125,37
1539799128,37
1539799131,37
1539799134,37
1539799137,37
1539799140,37
1539799143,37
1539799146,37
1539799149,37
1539799152,37
1539799155,37
1539799158,37
1539799161,37
1539799164,37
1539799167,37
1539799170,37
1539799173,37
1539799176,37
1539799179,37
1539799182,37
1539799185,37
1539799188,37
1539799191,37
1539799194,37
1539799197,37
1539799200,37
1539799203,37
1539799206,37
1539799209,37
1539799212,37
1539799215,37
1539799218,37
1539799221,37
1539799224,37
1539799227,37
1539799230,37
1539799233,37
1539799236,37
1539799239,37
1539799242,37
1539799245,37
1539799248,37
1539799251,37
1539799254,37
1539799257,37
1539799260,37
1539799263,37
1539799266,37
1539799269,37
1539799272,37
1539799275,37
1539799278,37
1539799281,37
1539799284,37
1539799287,37
1539799290,37
1539799293,37
1539799296,37
1539799299,37
1539799302,37
1539799305,37
1539799308,37
1539799311,37
1539799314,37
1539799317,37
1539799320,37
1539799323,37
1539799326,37
1539799329,37
1539799332,37
1539799335,37
1539799338,37
1539799341,37
1539799344,37
1539799347,37
1539799350,37
1539799353,37
1539799356,37
1539799359,37
1539799362,37
1539799365,37
1539799368,37
1539799371,37
1539799374,37
1539799377,37
1539799380,37
1539799383,37
1539799386,37
1539799389,37
1539799392,37
1539799395,37
1539799398,37
1539799401,37
1539799404,37
1539799407,37
1539799410,37
1539799413,37
1539799416,37
1539799419,37
1539799422,37
1539799425,37
1539799428,37
1539799431,37
1539799434,37
1539799437,37
1539799440,37
1539799443,37
1539799446,37
1539799449,37
1539799452,37
1539799455,37
1539799458,37
1539799461,37
1539799464,37
1539799467,37
1539799470,37
1539799473,37
1539799476,37
1539799479,37
1539799482,37
1539799485,37
1539799488,37
1539799491,37
1539799494,37
1539799497,37
1539799500,37
1539799503,37
1539799506,37
1539799509,37
1539799512,37
1539799515,37
1539799518,37
1539799521,37
1539799524,37
1539799527,37
1539799530,37
1539799533,37
1539799536,37
1539799539,37
1539799542,37
1539799545,37
1539799548,37
1539799551,37
1539799554,37
1539799557,37
1539799560,37
1539799563,37
1539799566,37
1539799569,37
1539799572,37
1539799575,37
1539799578,37
1539799581,37
1539799584,37
1539799587,37
1539799590,37
1539799593,37
1539799596,37
1539799599,37
1539799602,37
1539799605,37
1539799608,37
1539799611,37
1539799614,37
1539799617,37
1539799620,37
1539799623,37
1539799626,37
1539799629,37
1539799632,37
1539799635,37
1539799638,37
1539799641,37
1539799644,37
1539799647,37
1539799650,37
1539799653,37
1539799656,37
1539799659,37
1539799662,37
1539799665,37
1539799668,37
1539799671,37
1539799674,37
1539799677,37
1539799680,37
1539799683,37
1539799686,37
1539799689,37
1539799692,37
1539799695,37
1539799698,37
1539799701,37
1539799704,37
1539799707,37
1539799710,37
1539799713,37
1539799716,37
1539799719,37
1539799722,37
1539799725,37
1539799728,37
1539799731,37
1539799734,37
1539799737,37
1539799740,37
1539799743,37
1539799746,37
1539799749,37
1539799752,37
1539799755,37
1539799758,37
1539799761,37
1539799764,37
1539799767,37
1539799770,37
1539799773,37
1539799776,37
1539799779,37
1539799782,37
1539799785,37
1539799788,37
1539799791,37
1539799794,37
1539799797,37
1539799800,37
1539799803,37
1539799806,37
1539799809,37
1539799812,37
1539799815,37
1539799818,37
1539799821,37
1539799824,37
1539799827,37
1539799830,37
1539799833,37
1539799836,37
1539799839,37
1539799842,37
1539799845,37
1539799848,37
1539799851,37
1539799854,37
1539799857,37
1539799860,37
1539799863,37
1539799866,37
1539799869,37
1539799872,37
1539799875,37
1539799878,37
1539799881,37
1539799884,37
1539799887,37
1539799890,37
1539799893,37
1539799896,37
1539799899,37
1539799902,37
1539799905,37
1539799908,37
1539799911,37
1539799914,37
1539799917,37
1539799920,37
1539799923,37
1539799926,37
1539799929,37
1539799932,37
1539799935,37
1539799938,37
1539799941,37
1539799944,37
1539799947,37
1539799950,37
1539799953,37
1539799956,37
1539799959,37
1539799962,37
1539799965,37
1539799968,37
1539799971,37
1539799974,37
1539799977,37
1539799980,37
