t,value
1539786673,34766952
1539786676,36823112
1539786679,37307344
1539786682,37581552
1539786685,39472608
1539786688,41145688
1539786691,42778488
1539786694,44626256
1539786697,45979680
1539786700,52150536
1539786703,54836912
1539786706,56601952
1539786709,56602312
1539786712,56605544
1539786715,56628784
1539786718,56632656
1539786721,56632944
1539786724,56633944
1539786727,56634352
1539786730,56634544
1539786733,56657624
1539786736,56664664
1539786739,56676744
1539786742,56677376
1539786745,56677376
1539786748,56677376
1539786751,56677680
1539786754,56677680
1539786757,56677680
1539786760,56677680
1539786763,56677680
1539786766,56677680
1539786769,56678488
1539786772,56681992
1539786775,56684896
1539786778,56685576
1539786781,56685944
t,value
1539786800,31854000
1539786803,35464472
1539786806,38406024
1539786809,45754808
1539786812,52271288
1539786815,54755944
1539786818,54758536
1539786821,55466624
1539786824,55909816
1539786827,55914184
1539786830,55914816
1539786833,55920504
1539786836,56128088
1539786839,56778448
1539786842,60248920
1539786845,61324304
1539786848,62164144
1539786851,64082792
1539786854,64248560
1539786857,64265952
1539786860,64282864
1539786863,64445072
1539786866,64512480
1539786869,65065064
1539786872,65102456
1539786875,65102456
1539786878,65102456
1539786881,65110408
1539786884,65168712
1539786887,65174176
1539786890,65174480
1539786893,65174480
1539786896,65174480
1539786899,65176232
1539786902,65215784
1539786905,65233528
1539786908,65239288
1539786911,65239288
1539786914,65239352
1539786917,65239352
1539786920,65239352
1539786923,65288800
1539786926,65290640
1539786929,65291544
1539786932,65295440
1539786935,65295440
1539786938,65299168
1539786941,65302368
1539786944,65354312
1539786947,65354312
1539786950,65354312
1539786953,65355272
1539786956,65355992
1539786959,65357752
1539786962,65385272
1539786965,65401616
1539786968,65402008
1539786971,65402480
1539786974,65402480
1539786977,65402480
1539786980,65405768
1539786983,65448888
1539786986,65448888
1539786989,65448888
1539786992,65448888
1539786995,65449384
1539786998,65449384
1539787001,65450968
1539787004,65488760
1539787007,65488760
1539787010,65490352
1539787013,65491968
1539787016,65492952
1539787019,65493328
1539787022,65504456
1539787025,65515184
1539787028,65517144
1539787031,65517144
1539787034,65517144
1539787037,65517144
1539787040,65517552
1539787043,65532848
1539787046,65534696
1539787049,65535872
1539787052,65536624
1539787055,65538488
1539787058,65538488
1539787061,65538488
1539787064,65561872
1539787067,65561872
1539787070,65562704
1539787073,65562704
1539787076,65563056
1539787079,65563056
1539787082,65564640
1539787085,65579680
1539787088,65583416
1539787091,65583416
1539787094,65585048
1539787097,65585048
1539787100,65586784
1539787103,65605104
1539787106,65605104
1539787109,65615072
1539787112,65615072
1539787115,65615072
1539787118,65615784
1539787121,65615784
1539787124,65819784
1539787127,65819784
1539787130,65819784
1539787133,65821808
1539787136,65821808
1539787139,65821808
1539787142,65836552
1539787145,65848968
1539787148,65848968
1539787151,65848968
1539787154,65848968
1539787157,65851600
1539787160,65852304
1539787163,65871576
1539787166,65871576
1539787169,65871576
1539787172,65872656
1539787175,65873344
1539787178,65873344
1539787181,65876800
1539787184,65905064
1539787187,65905064
1539787190,65905064
1539787193,65905064
1539787196,65905064
1539787199,65905064
1539787202,65913200
1539787205,65914472
1539787208,65914472
1539787211,65914472
1539787214,65914472
1539787217,65915392
1539787220,65921776
1539787223,65949096
t,value
1539796323,36593168
1539796326,52440384
1539796329,54850704
1539796332,54860720
1539796335,54863152
1539796338,54865280
1539796341,54867360
1539796344,54867728
1539796347,54871056
1539796350,54872400
1539796353,54872744
1539796356,54873368
1539796359,54873368
1539796362,54885352
1539796365,54898488
1539796368,54898880
1539796371,54901272
1539796374,54902296
1539796377,54902904
1539796380,54903408
1539796383,54911000
1539796386,54912024
1539796389,54919528
1539796392,54923896
1539796395,56053392
1539796398,63511784
1539796401,63511784
1539796404,63511784
1539796407,63512088
1539796410,63513208
1539796413,63513208
1539796416,63517904
1539796419,63518760
1539796422,63522312
1539796425,63743824
1539796428,63743824
1539796431,63747560
1539796434,63756552
1539796437,63758312
1539796440,63768912
1539796443,63770896
1539796446,63773976
1539796449,63775512
1539796452,63775512
1539796455,63805144
1539796458,63805976
1539796461,63808872
1539796464,63813120
1539796467,63814360
1539796470,63826752
1539796473,63826752
1539796476,63827128
1539796479,63827128
1539796482,63854112
1539796485,63855072
1539796488,63857248
1539796491,63857248
1539796494,63857248
1539796497,63878968
1539796500,63879360
1539796503,63879960
1539796506,63882960
1539796509,63882960
1539796512,63883448
1539796515,63928872
1539796518,63928872
1539796521,63929216
1539796524,63929216
1539796527,63929216
1539796530,63950840
1539796533,63950840
1539796536,63958904
1539796539,63958904
1539796542,63958904
1539796545,63962920
1539796548,63972104
1539796551,63972104
1539796554,63972104
1539796557,63972104
1539796560,63973696
1539796563,63974904
1539796566,64131720
1539796569,64131720
1539796572,64133304
1539796575,64134432
1539796578,64134432
1539796581,64135816
1539796584,64164056
1539796587,64187216
1539796590,64187216
1539796593,64187216
1539796596,64187216
1539796599,64187904
1539796602,64187904
1539796605,64218840
1539796608,64218840
1539796611,64218840
1539796614,64218840
1539796617,64220016
1539796620,64220016
1539796623,64222672
1539796626,64222672
1539796629,64224128
1539796632,64234096
1539796635,64284168
1539796638,64284664
1539796641,64284664
1539796644,64284664
1539796647,64284664
1539796650,64284664
1539796653,64284664
1539796656,64284664
1539796659,64284664
1539796662,64284664
1539796665,64284664
1539796668,64298880
1539796671,64299952
1539796674,64299952
1539796677,64299952
1539796680,64299952
1539796683,64301016
1539796686,64301016
1539796689,64301016
1539796692,64301016
1539796695,64301016
1539796698,64310624
1539796701,64310624
1539796704,64314904
1539796707,64315656
1539796710,64315656
1539796713,64315656
1539796716,64315656
1539796719,64315656
1539796722,64315656
1539796725,64323224
1539796728,64323224
1539796731,64323224
1539796734,64323224
1539796737,64323224
1539796740,64323224
1539796743,64327176
1539796746,64327176
1539796749,64327176
1539796752,64327176
1539796755,64327592
1539796758,64385936
1539796761,64389056
1539796764,64389056
1539796767,64389056
1539796770,64389056
1539796773,64389056
1539796776,64389056
1539796779,64389056
1539796782,64396376
1539796785,64396376
1539796788,64396376
1539796791,64396376
1539796794,64396376
1539796797,64398056
1539796800,64398888
1539796803,64404296
1539796806,64404296
1539796809,64405968
1539796812,64409496
1539796815,64409496
1539796818,64409496
1539796821,64411536
1539796824,64412456
1539796827,64412456
1539796830,64416744
1539796833,64416744
1539796836,64416744
1539796839,64416744
1539796842,64416744
1539796845,64449240
1539796848,64449240
1539796851,64449240
1539796854,64449240
1539796857,64449240
1539796860,64449240
1539796863,64449240
1539796866,64449240
1539796869,64449240
1539796872,64449240
1539796875,64449240
1539796878,64454776
1539796881,64454776
1539796884,64454776
1539796887,64454776
1539796890,64456000
1539796893,64456000
1539796896,64456000
1539796899,64457928
1539796902,64465104
1539796905,64465104
1539796908,64465104
1539796911,64465880
1539796914,64465880
1539796917,64465880
1539796920,64465880
1539796923,64836792
1539796926,64837176
1539796929,64846760
1539796932,64846920
1539796935,64846920
1539796938,64846920
1539796941,64846920
1539796944,64846920
1539796947,64846920
1539796950,64846920
1539796953,64846920
1539796956,64846920
1539796959,64846920
1539796962,64904864
1539796965,64904864
1539796968,64905584
1539796971,64905584
1539796974,64906992
1539796977,64906992
1539796980,64906992
1539796983,64907336
1539796986,64907336
1539796989,64907336
1539796992,64910928
1539796995,64910928
1539796998,64910928
1539797001,64910928
1539797004,64910928
1539797007,64910928
1539797010,64910928
1539797013,64910928
1539797016,64911688
1539797019,64911688
1539797022,64911688
1539797025,64911688
1539797028,64911688
1539797031,64911688
1539797034,64911688
1539797037,64914808
1539797040,64914808
1539797043,64917160
1539797046,64917160
1539797049,64917160
1539797052,64927848
1539797055,64927848
1539797058,64927848
1539797061,64927848
1539797064,64927848
1539797067,64927848
1539797070,64927848
1539797073,64928280
1539797076,64928280
1539797079,64928656
1539797082,64928656
1539797085,64928656
1539797088,64931424
1539797091,64933224
1539797094,64934352
1539797097,64934640
1539797100,64934640
1539797103,64935600
1539797106,64935600
1539797109,64935600
1539797112,64935600
1539797115,64856064
1539797118,64856064
1539797121,64856064
1539797124,64856064
1539797127,64856064
1539797130,64856064
1539797133,64856064
1539797136,64856064
1539797139,64857272
1539797142,64857272
1539797145,64857272
1539797148,64857272
1539797151,64857272
1539797154,64857272
1539797157,64857272
1539797160,64857272
1539797163,64859320
1539797166,64859320
1539797169,64859320
1539797172,64859320
1539797175,64859320
1539797178,64870008
1539797181,64870008
1539797184,64870008
1539797187,64870008
1539797190,64870008
1539797193,64870008
1539797196,64870008
1539797199,64870008
1539797202,64870008
1539797205,64870008
1539797208,64870008
1539797211,64874672
1539797214,64874672
1539797217,64874672
1539797220,64874672
1539797223,64883000
1539797226,64883000
1539797229,64883000
1539797232,64883000
1539797235,64883000
1539797238,64899040
1539797241,64899040
1539797244,64899040
1539797247,64899040
1539797250,64899040
1539797253,64899040
1539797256,64899040
1539797259,64899040
1539797262,64899040
1539797265,64899040
1539797268,64899040
1539797271,64906200
1539797274,64907032
1539797277,64907032
1539797280,64907032
1539797283,64907032
1539797286,64907032
1539797289,64922824
1539797292,64922824
1539797295,64922824
1539797298,64922824
1539797301,64922824
1539797304,64932120
1539797307,64932120
1539797310,64932120
1539797313,64932120
1539797316,64932120
1539797319,64932120
1539797322,64932120
1539797325,64932120
1539797328,64936576
1539797331,64936576
1539797334,64936576
1539797337,64936576
1539797340,64936576
1539797343,64936576
1539797346,64936576
1539797349,64936576
1539797352,64936576
1539797355,64936576
1539797358,64936576
1539797361,64952704
1539797364,64952704
1539797367,64952704
1539797370,64952704
1539797373,64952704
1539797376,64952704
1539797379,64952704
1539797382,64952704
1539797385,64952704
1539797388,64952704
1539797391,64952704
1539797394,64952704
1539797397,64958136
1539797400,64958136
1539797403,64959272
1539797406,64959272
1539797409,64959272
1539797412,64959272
1539797415,64959272
1539797418,64959272
1539797421,64959272
1539797424,64959272
1539797427,64959272
1539797430,64959272
1539797433,64959272
1539797436,64959272
1539797439,64959272
1539797442,64959272
1539797445,64959272
1539797448,64959272
1539797451,64959272
1539797454,64959272
1539797457,64959272
1539797460,64959272
1539797463,64959272
1539797466,64959272
1539797469,64959272
1539797472,64959272
1539797475,64960832
1539797478,65004120
1539797481,65004120
1539797484,65004120
1539797487,65004120
1539797490,65004120
1539797493,65004120
1539797496,65004120
1539797499,65004120
1539797502,65007224
1539797505,65007224
1539797508,65007224
1539797511,65007224
1539797514,65007224
1539797517,65007224
1539797520,65007224
1539797523,65010600
1539797526,65010600
1539797529,65010600
1539797532,65010600
1539797535,65010600
1539797538,65010600
1539797541,65010600
1539797544,65010600
1539797547,65010600
1539797550,65011048
1539797553,65011048
1539797556,65011048
1539797559,65011048
1539797562,65011048
1539797565,65011048
1539797568,65011048
1539797571,65011048
1539797574,65011048
1539797577,65014056
1539797580,65014056
1539797583,65014056
1539797586,65014056
1539797589,65014056
1539797592,65014056
1539797595,65014056
1539797598,65014056
1539797601,65024624
1539797604,65024624
1539797607,65024624
1539797610,65024624
1539797613,65024624
1539797616,65024624
1539797619,65024624
1539797622,65024624
1539797625,65024624
1539797628,65025320
1539797631,65025320
1539797634,65025320
1539797637,65025320
1539797640,65025320
1539797643,65031776
1539797646,65031776
1539797649,65031776
1539797652,65031776
1539797655,65043856
1539797658,65043856
1539797661,65043856
1539797664,65043856
1539797667,65043856
1539797670,65043856
1539797673,65043856
1539797676,65043856
1539797679,65043856
1539797682,65043856
1539797685,65053104
1539797688,65053104
1539797691,65053104
1539797694,65053104
1539797697,65053104
1539797700,65053104
1539797703,65053104
1539797706,65053104
1539797709,65053104
1539797712,65181792
1539797715,65181792
1539797718,65181792
1539797721,65181792
1539797724,65181792
1539797727,65181792
1539797730,65181792
1539797733,65181792
1539797736,65181792
1539797739,65181792
1539797742,65181792
1539797745,65181792
1539797748,65194344
1539797751,65194344
1539797754,65194344
1539797757,65194344
1539797760,65194344
1539797763,65194344
1539797766,65194344
1539797769,65194344
1539797772,65194344
1539797775,65194344
1539797778,65194344
1539797781,65195888
1539797784,65195888
1539797787,65195888
1539797790,65195888
1539797793,65195888
1539797796,65195888
1539797799,65195888
1539797802,65195888
1539797805,65195888
1539797808,65195888
1539797811,65195888
1539797814,65195888
1539797817,65195888
1539797820,65195888
1539797823,65199128
1539797826,65199128
1539797829,65199128
1539797832,65199128
1539797835,65199128
1539797838,65199128
1539797841,65199128
1539797844,65199128
1539797847,65199128
1539797850,65199504
1539797853,65199504
1539797856,65258584
1539797859,65260184
1539797862,65260184
1539797865,65260184
1539797868,65260184
1539797871,65260184
1539797874,65260184
1539797877,65260184
1539797880,65260184
1539797883,65260184
1539797886,65260184
1539797889,65260184
1539797892,65260184
1539797895,65260184
1539797898,65260184
1539797901,65260184
1539797904,65260184
1539797907,65260184
1539797910,65260184
1539797913,65260184
1539797916,65260184
1539797919,65262552
1539797922,65262552
1539797925,65262552
1539797928,65262552
1539797931,65262552
1539797934,65262552
1539797937,65262552
1539797940,65262552
1539797943,65263144
1539797946,65263144
1539797949,65263144
1539797952,65263144
1539797955,65263144
1539797958,65263144
1539797961,65263144
1539797964,65263144
1539797967,65263144
1539797970,65263144
1539797973,65263144
1539797976,65263144
1539797979,65263144
1539797982,65265320
1539797985,65265320
1539797988,65265320
1539797991,65265320
1539797994,65265320
1539797997,65265320
1539798000,65265320
1539798003,65268184
1539798006,65268184
1539798009,65268184
1539798012,65268184
1539798015,65268184
1539798018,65268184
1539798021,65268184
1539798024,65268184
1539798027,65268184
1539798030,65380488
1539798033,65380488
1539798036,65380488
1539798039,65380488
1539798042,65380488
1539798045,65380488
1539798048,65380488
1539798051,65380712
1539798054,65380712
1539798057,65380712
1539798060,65380712
1539798063,65380712
1539798066,65380712
1539798069,65380712
1539798072,65380712
1539798075,65380712
1539798078,65380712
1539798081,65381560
1539798084,65381560
1539798087,65381560
1539798090,65381560
1539798093,65381560
1539798096,65381560
1539798099,65381560
1539798102,65381560
1539798105,65381560
1539798108,65381560
1539798111,65381560
1539798114,65381560
1539798117,65381560
1539798120,65381560
1539798123,65390600
1539798126,65390600
1539798129,65390600
1539798132,65390600
1539798135,65390600
1539798138,65390600
1539798141,65390600
1539798144,65390600
1539798147,65390600
1539798150,65390600
1539798153,65390600
1539798156,65390600
1539798159,65390600
1539798162,65390600
1539798165,65390600
1539798168,65390600
1539798171,65390600
1539798174,65390600
1539798177,65390600
1539798180,65390600
1539798183,65390600
1539798186,65390600
1539798189,65390600
1539798192,65407056
1539798195,65407056
1539798198,65407976
1539798201,65407976
1539798204,65407976
1539798207,65407976
1539798210,65407976
1539798213,65407976
1539798216,65407976
1539798219,65407976
1539798222,65407976
1539798225,65407976
1539798228,65407976
1539798231,65407976
1539798234,65407976
1539798237,65407976
1539798240,65408272
1539798243,65408272
1539798246,65408272
1539798249,65408272
1539798252,65408272
1539798255,65408272
1539798258,65408272
1539798261,65408272
1539798264,65408272
1539798267,65408272
1539798270,65408272
1539798273,65408272
1539798276,65408272
1539798279,65408272
1539798282,65408272
1539798285,65408272
1539798288,65408560
1539798291,65408560
1539798294,65408560
1539798297,65408560
1539798300,65408560
1539798303,65408560
1539798306,65408936
1539798309,65408936
1539798312,65408936
1539798315,65408936
1539798318,65408936
1539798321,65408936
1539798324,65408936
1539798327,65408936
1539798330,65408936
1539798333,65408936
1539798336,65408936
1539798339,65408936
1539798342,65408936
1539798345,65408936
1539798348,65408936
1539798351,65408936
1539798354,65408936
1539798357,65408936
1539798360,65408936
1539798363,65408936
1539798366,65408936
1539798369,65408936
1539798372,65408936
1539798375,65408936
1539798378,65408936
1539798381,65408936
1539798384,65408936
1539798387,65547192
1539798390,65547496
1539798393,65547496
1539798396,65547496
1539798399,65547496
1539798402,65547496
1539798405,65547496
1539798408,65547496
1539798411,65547496
1539798414,65547496
1539798417,65547496
1539798420,65547496
1539798423,65547496
1539798426,65547496
1539798429,65547496
1539798432,65547496
1539798435,65547496
1539798438,65547496
1539798441,65547496
1539798444,65547496
1539798447,65547496
1539798450,65547496
1539798453,65547496
1539798456,65547496
1539798459,65547496
1539798462,65547496
1539798465,65547496
1539798468,65547496
1539798471,65547496
1539798474,65547496
1539798477,65547496
1539798480,65547496
1539798483,65547496
1539798486,65547496
1539798489,65547496
1539798492,65547496
1539798495,65547496
1539798498,65547496
1539798501,65547496
1539798504,65547496
1539798507,65547496
1539798510,65547496
1539798513,65547496
1539798516,65547496
1539798519,65547496
1539798522,65547496
1539798525,65547496
1539798528,65547496
1539798531,65547496
1539798534,65547496
1539798537,65547496
1539798540,65547496
1539798543,65548552
1539798546,65548552
1539798549,65548552
1539798552,65548552
1539798555,65548552
1539798558,65548832
1539798561,65548832
1539798564,65548832
1539798567,65548832
1539798570,65548832
1539798573,65548832
1539798576,65548832
1539798579,65548832
1539798582,65548832
1539798585,65548832
1539798588,65548832
1539798591,65548832
1539798594,65548832
1539798597,65548832
1539798600,65548832
1539798603,65549544
1539798606,65549544
1539798609,65549544
1539798612,65549544
1539798615,65549544
1539798618,65549544
1539798621,65549544
1539798624,65549544
1539798627,65549544
1539798630,65549544
1539798633,65549544
1539798636,65549544
1539798639,65549544
1539798642,65549544
1539798645,65549544
1539798648,65549544
1539798651,65549544
1539798654,65549544
1539798657,65549544
1539798660,65549544
1539798663,65549544
1539798666,65549544
1539798669,65549544
1539798672,65549544
1539798675,65549544
1539798678,65549544
1539798681,65549544
1539798684,65549544
1539798687,65549544
1539798690,65549544
1539798693,65549544
1539798696,65549544
1539798699,65549544
1539798702,65549544
1539798705,65549544
1539798708,65549544
1539798711,65549544
1539798714,65549544
1539798717,65549544
1539798720,65549544
1539798723,65549544
1539798726,65549544
1539798729,65550032
1539798732,65550032
1539798735,65550032
1539798738,65550032
1539798741,65550032
1539798744,65550032
1539798747,65550032
1539798750,65550032
1539798753,65550032
1539798756,65550032
1539798759,65550032
1539798762,65550032
1539798765,65550032
1539798768,65550032
1539798771,65550032
1539798774,65550032
1539798777,65550032
1539798780,65550728
1539798783,65550728
1539798786,65550728
1539798789,65550728
1539798792,65550728
1539798795,65550728
1539798798,65550728
1539798801,65550728
1539798804,65550728
1539798807,65550728
1539798810,65555488
1539798813,65555488
1539798816,65555488
1539798819,65555488
1539798822,65557672
1539798825,65557672
1539798828,65557672
1539798831,65557672
1539798834,65557672
1539798837,65557952
1539798840,65557952
1539798843,65557952
1539798846,65557952
1539798849,65557952
1539798852,65557952
1539798855,65557952
1539798858,65558608
1539798861,65559448
1539798864,65559448
1539798867,65559448
1539798870,65560696
1539798873,65560696
1539798876,65560696
