t,value
1539786673,1048576
1539786676,2097152
1539786679,3145728
1539786682,1048576
1539786685,2097152
1539786688,2097152
1539786691,2097152
1539786694,1048576
1539786697,1048576
1539786700,2097152
1539786703,1048576
1539786706,1048576
1539786709,1048576
1539786712,1048576
1539786715,1048576
1539786718,1048576
1539786721,1048576
1539786724,1048576
1539786727,1048576
1539786730,1048576
1539786733,1048576
1539786736,1048576
1539786739,1048576
1539786742,1048576
1539786745,1048576
1539786748,1048576
1539786751,1048576
1539786754,1048576
1539786757,1048576
1539786760,1048576
1539786763,1048576
1539786766,1048576
1539786769,1048576
1539786772,1048576
1539786775,1048576
1539786778,1048576
1539786781,1048576
t,value
1539786800,3145728
1539786803,3145728
1539786806,2097152
1539786809,2097152
1539786812,2097152
1539786815,2097152
1539786818,2097152
1539786821,2097152
1539786824,2097152
1539786827,2097152
1539786830,2097152
1539786833,2097152
1539786836,2097152
1539786839,2097152
1539786842,1048576
1539786845,1048576
1539786848,1048576
1539786851,1048576
1539786854,1048576
1539786857,1048576
1539786860,1048576
1539786863,1048576
1539786866,1048576
1539786869,1048576
1539786872,1048576
1539786875,1048576
1539786878,1048576
1539786881,1048576
1539786884,1048576
1539786887,1048576
1539786890,1048576
1539786893,1048576
1539786896,1048576
1539786899,1048576
1539786902,1048576
1539786905,1048576
1539786908,1048576
1539786911,1048576
1539786914,1048576
1539786917,1048576
1539786920,1048576
1539786923,1048576
1539786926,1048576
1539786929,1048576
1539786932,1048576
1539786935,1048576
1539786938,1048576
1539786941,1048576
1539786944,1048576
1539786947,1048576
1539786950,1048576
1539786953,1048576
1539786956,1048576
1539786959,1048576
1539786962,1048576
1539786965,1048576
1539786968,1048576
1539786971,1048576
1539786974,1048576
1539786977,1048576
1539786980,1048576
1539786983,1048576
1539786986,1048576
1539786989,1048576
1539786992,1048576
1539786995,1048576
1539786998,1048576
1539787001,1048576
1539787004,1048576
1539787007,1048576
1539787010,1048576
1539787013,1048576
1539787016,1048576
1539787019,1048576
1539787022,1048576
1539787025,1048576
1539787028,1048576
1539787031,1048576
1539787034,1048576
1539787037,1048576
1539787040,1048576
1539787043,1048576
1539787046,1048576
1539787049,1048576
1539787052,1048576
1539787055,1048576
1539787058,1048576
1539787061,1048576
1539787064,1048576
1539787067,1048576
1539787070,1048576
1539787073,1048576
1539787076,1048576
1539787079,1048576
1539787082,1048576
1539787085,1048576
1539787088,1048576
1539787091,1048576
1539787094,1048576
1539787097,1048576
1539787100,1048576
1539787103,1048576
1539787106,1048576
1539787109,1048576
1539787112,1048576
1539787115,1048576
1539787118,1048576
1539787121,1048576
1539787124,1048576
1539787127,1048576
1539787130,1048576
1539787133,1048576
1539787136,1048576
1539787139,1048576
1539787142,1048576
1539787145,1048576
1539787148,1048576
1539787151,1048576
1539787154,1048576
1539787157,1048576
1539787160,1048576
1539787163,1048576
1539787166,1048576
1539787169,1048576
1539787172,1048576
1539787175,1048576
1539787178,1048576
1539787181,1048576
1539787184,1048576
1539787187,1048576
1539787190,1048576
1539787193,1048576
1539787196,1048576
1539787199,1048576
1539787202,1048576
1539787205,1048576
1539787208,1048576
1539787211,1048576
1539787214,1048576
1539787217,1048576
1539787220,1048576
1539787223,1048576
