t,value
1539786673,0
1539786676,0
1539786679,0
1539786682,0
1539786685,0
1539786688,0
1539786691,0
1539786694,0
1539786697,0
1539786700,2
1539786703,2
1539786706,2
1539786709,2
1539786712,2
1539786715,2
1539786718,2
1539786721,2
1539786724,2
1539786727,2
1539786730,2
1539786733,2
1539786736,2
1539786739,2
1539786742,2
1539786745,2
1539786748,2
1539786751,2
1539786754,2
1539786757,2
1539786760,2
1539786763,2
1539786766,2
1539786769,2
1539786772,2
1539786775,2
1539786778,2
1539786781,2
t,value
1539786800,0
1539786803,0
1539786806,0
1539786809,0
1539786812,2
1539786815,2
1539786818,2
1539786821,2
1539786824,2
1539786827,2
1539786830,2
1539786833,2
1539786836,2
1539786839,2
1539786842,4
1539786845,9
1539786848,9
1539786851,10
1539786854,14
1539786857,15
1539786860,16
1539786863,23
1539786866,25
1539786869,27
1539786872,34
1539786875,34
1539786878,34
1539786881,34
1539786884,39
1539786887,39
1539786890,39
1539786893,39
1539786896,39
1539786899,39
1539786902,41
1539786905,44
1539786908,44
1539786911,44
1539786914,44
1539786917,44
1539786920,44
1539786923,49
1539786926,49
1539786929,49
1539786932,49
1539786935,49
1539786938,49
1539786941,49
1539786944,54
1539786947,54
1539786950,54
1539786953,54
1539786956,54
1539786959,54
1539786962,57
1539786965,59
1539786968,59
1539786971,59
1539786974,59
1539786977,59
1539786980,59
1539786983,64
1539786986,64
1539786989,64
1539786992,64
1539786995,64
1539786998,64
1539787001,64
1539787004,69
1539787007,69
1539787010,69
1539787013,69
1539787016,69
1539787019,69
1539787022,72
1539787025,74
1539787028,74
1539787031,74
1539787034,74
1539787037,74
1539787040,74
1539787043,79
1539787046,79
1539787049,79
1539787052,79
1539787055,79
1539787058,79
1539787061,79
1539787064,84
1539787067,84
1539787070,84
1539787073,84
1539787076,84
1539787079,84
1539787082,86
1539787085,89
1539787088,89
1539787091,89
1539787094,89
1539787097,89
1539787100,89
1539787103,94
1539787106,94
1539787109,94
1539787112,94
1539787115,94
1539787118,94
1539787121,94
1539787124,99
1539787127,99
1539787130,99
1539787133,99
1539787136,99
1539787139,99
1539787142,102
1539787145,104
1539787148,104
1539787151,104
1539787154,104
1539787157,104
1539787160,104
1539787163,109
1539787166,109
1539787169,109
1539787172,109
1539787175,109
1539787178,109
1539787181,109
1539787184,114
1539787187,114
1539787190,114
1539787193,114
1539787196,114
1539787199,114
1539787202,117
1539787205,119
1539787208,119
1539787211,119
1539787214,119
1539787217,119
1539787220,119
1539787223,124
t,value
1539796323,0
1539796326,2
1539796329,2
1539796332,2
1539796335,2
1539796338,2
1539796341,2
1539796344,2
1539796347,2
1539796350,2
1539796353,2
1539796356,2
1539796359,2
1539796362,2
1539796365,2
1539796368,2
1539796371,2
1539796374,2
1539796377,2
1539796380,2
1539796383,2
1539796386,2
1539796389,2
1539796392,2
1539796395,2
1539796398,4
1539796401,4
1539796404,4
1539796407,4
1539796410,4
1539796413,4
1539796416,4
1539796419,4
1539796422,4
1539796425,8
1539796428,8
1539796431,8
1539796434,8
1539796437,8
1539796440,9
1539796443,9
1539796446,9
1539796449,9
1539796452,9
1539796455,12
1539796458,12
1539796461,12
1539796464,12
1539796467,12
1539796470,15
1539796473,15
1539796476,15
1539796479,15
1539796482,16
1539796485,16
1539796488,16
1539796491,16
1539796494,16
1539796497,17
1539796500,17
1539796503,17
1539796506,17
1539796509,17
1539796512,17
1539796515,18
1539796518,18
1539796521,18
1539796524,18
1539796527,18
1539796530,21
1539796533,21
1539796536,21
1539796539,21
1539796542,21
1539796545,21
1539796548,22
1539796551,22
1539796554,22
1539796557,22
1539796560,22
1539796563,22
1539796566,23
1539796569,23
1539796572,23
1539796575,23
1539796578,23
1539796581,23
1539796584,26
1539796587,27
1539796590,27
1539796593,27
1539796596,27
1539796599,27
1539796602,27
1539796605,30
1539796608,30
1539796611,30
1539796614,30
1539796617,30
1539796620,30
1539796623,30
1539796626,30
1539796629,30
1539796632,30
1539796635,35
1539796638,35
1539796641,35
1539796644,35
1539796647,35
1539796650,35
1539796653,35
1539796656,35
1539796659,35
1539796662,35
1539796665,35
1539796668,36
1539796671,36
1539796674,36
1539796677,36
1539796680,36
1539796683,36
1539796686,36
1539796689,36
1539796692,36
1539796695,36
1539796698,39
1539796701,39
1539796704,39
1539796707,39
1539796710,39
1539796713,39
1539796716,39
1539796719,39
1539796722,39
1539796725,40
1539796728,40
1539796731,40
1539796734,40
1539796737,40
1539796740,40
1539796743,40
1539796746,40
1539796749,40
1539796752,40
1539796755,40
1539796758,44
1539796761,44
1539796764,44
1539796767,44
1539796770,44
1539796773,44
1539796776,44
1539796779,44
1539796782,47
1539796785,47
1539796788,47
1539796791,47
1539796794,47
1539796797,47
1539796800,47
1539796803,47
1539796806,47
1539796809,47
1539796812,49
1539796815,49
1539796818,49
1539796821,49
1539796824,49
1539796827,49
1539796830,49
1539796833,49
1539796836,49
1539796839,49
1539796842,49
1539796845,53
1539796848,53
1539796851,53
1539796854,53
1539796857,53
1539796860,53
1539796863,53
1539796866,53
1539796869,53
1539796872,53
1539796875,53
1539796878,54
1539796881,54
1539796884,54
1539796887,54
1539796890,54
1539796893,54
1539796896,54
1539796899,54
1539796902,56
1539796905,56
1539796908,56
1539796911,56
1539796914,56
1539796917,56
1539796920,56
1539796923,56
1539796926,56
1539796929,56
1539796932,56
1539796935,56
1539796938,57
1539796941,57
1539796944,57
1539796947,57
1539796950,57
1539796953,57
1539796956,57
1539796959,57
1539796962,58
1539796965,58
1539796968,58
1539796971,58
1539796974,58
1539796977,58
1539796980,58
1539796983,58
1539796986,58
1539796989,58
1539796992,60
1539796995,60
1539796998,60
1539797001,60
1539797004,60
1539797007,60
1539797010,60
1539797013,60
1539797016,61
1539797019,61
1539797022,61
1539797025,61
1539797028,61
1539797031,61
1539797034,61
1539797037,61
1539797040,61
1539797043,61
1539797046,61
1539797049,61
1539797052,63
1539797055,63
1539797058,63
1539797061,63
1539797064,63
1539797067,63
1539797070,63
1539797073,63
1539797076,63
1539797079,63
1539797082,63
1539797085,63
1539797088,63
1539797091,63
1539797094,63
1539797097,64
1539797100,64
1539797103,64
1539797106,64
1539797109,64
1539797112,64
1539797115,64
1539797118,64
1539797121,64
1539797124,64
1539797127,64
1539797130,64
1539797133,64
1539797136,64
1539797139,67
1539797142,67
1539797145,67
1539797148,67
1539797151,67
1539797154,67
1539797157,67
1539797160,67
1539797163,67
1539797166,67
1539797169,67
1539797172,67
1539797175,67
1539797178,69
1539797181,69
1539797184,69
1539797187,69
1539797190,69
1539797193,69
1539797196,69
1539797199,69
1539797202,69
1539797205,69
1539797208,69
1539797211,70
1539797214,70
1539797217,70
1539797220,70
1539797223,70
1539797226,70
1539797229,70
1539797232,70
1539797235,70
1539797238,73
1539797241,73
1539797244,73
1539797247,73
1539797250,73
1539797253,73
1539797256,73
1539797259,73
1539797262,73
1539797265,73
1539797268,73
1539797271,76
1539797274,76
1539797277,76
1539797280,76
1539797283,76
1539797286,76
1539797289,79
1539797292,79
1539797295,79
1539797298,79
1539797301,79
1539797304,82
1539797307,82
1539797310,82
1539797313,82
1539797316,82
1539797319,82
1539797322,82
1539797325,82
1539797328,83
1539797331,83
1539797334,83
1539797337,83
1539797340,83
1539797343,83
1539797346,83
1539797349,83
1539797352,83
1539797355,83
1539797358,83
1539797361,85
1539797364,85
1539797367,85
1539797370,85
1539797373,85
1539797376,85
1539797379,85
1539797382,85
1539797385,85
1539797388,85
1539797391,85
1539797394,85
1539797397,86
1539797400,86
1539797403,86
1539797406,86
1539797409,86
1539797412,86
1539797415,86
1539797418,86
1539797421,86
1539797424,87
1539797427,87
