t,value
1539786673,22
1539786676,24
1539786679,27
1539786682,30
1539786685,32
1539786688,35
1539786691,37
1539786694,41
1539786697,45
1539786700,53
1539786703,62
1539786706,66
1539786709,66
1539786712,66
1539786715,66
1539786718,66
1539786721,66
1539786724,66
1539786727,66
1539786730,66
1539786733,66
1539786736,66
1539786739,66
1539786742,66
1539786745,66
1539786748,66
1539786751,66
1539786754,66
1539786757,66
1539786760,66
1539786763,66
1539786766,66
1539786769,67
1539786772,67
1539786775,67
1539786778,68
1539786781,68
t,value
1539786800,19
1539786803,26
1539786806,33
1539786809,45
1539786812,56
1539786815,64
1539786818,64
1539786821,65
1539786824,65
1539786827,66
1539786830,66
1539786833,66
1539786836,66
1539786839,67
1539786842,75
1539786845,78
1539786848,83
1539786851,92
1539786854,93
1539786857,93
1539786860,93
1539786863,95
1539786866,95
1539786869,98
1539786872,100
1539786875,100
1539786878,100
1539786881,100
1539786884,101
1539786887,101
1539786890,101
1539786893,101
1539786896,101
1539786899,101
1539786902,101
1539786905,102
1539786908,102
1539786911,102
1539786914,102
1539786917,102
1539786920,102
1539786923,104
1539786926,104
1539786929,104
1539786932,104
1539786935,104
1539786938,104
1539786941,104
1539786944,105
1539786947,105
1539786950,105
1539786953,105
1539786956,105
1539786959,105
1539786962,105
1539786965,106
1539786968,106
1539786971,106
1539786974,106
1539786977,106
1539786980,106
1539786983,107
1539786986,107
1539786989,107
1539786992,107
1539786995,107
1539786998,107
1539787001,107
1539787004,107
1539787007,108
1539787010,108
1539787013,108
1539787016,108
1539787019,108
1539787022,108
1539787025,108
1539787028,108
1539787031,109
1539787034,109
1539787037,109
1539787040,109
1539787043,109
1539787046,109
1539787049,109
1539787052,109
1539787055,110
1539787058,110
1539787061,110
1539787064,110
1539787067,110
1539787070,110
1539787073,110
1539787076,110
1539787079,111
1539787082,111
1539787085,111
1539787088,111
1539787091,111
1539787094,111
1539787097,111
1539787100,111
1539787103,112
1539787106,112
1539787109,112
1539787112,112
1539787115,112
1539787118,112
1539787121,112
1539787124,113
1539787127,113
1539787130,113
1539787133,113
1539787136,113
1539787139,113
1539787142,114
1539787145,114
1539787148,114
1539787151,114
1539787154,114
1539787157,114
1539787160,114
1539787163,115
1539787166,115
1539787169,115
1539787172,115
1539787175,115
1539787178,115
1539787181,115
1539787184,116
1539787187,116
1539787190,116
1539787193,116
1539787196,116
1539787199,116
1539787202,116
1539787205,117
1539787208,117
1539787211,117
1539787214,117
1539787217,117
1539787220,117
1539787223,118
t,value
1539796323,59
1539796326,61
1539796329,61
1539796332,61
1539796335,61
1539796338,61
1539796341,61
1539796344,61
1539796347,61
1539796350,61
1539796353,61
1539796356,61
1539796359,61
1539796362,61
1539796365,61
1539796368,61
1539796371,61
1539796374,61
1539796377,61
1539796380,61
1539796383,61
1539796386,61
1539796389,61
1539796392,61
1539796395,61
1539796398,63
1539796401,63
1539796404,63
1539796407,63
1539796410,63
1539796413,63
1539796416,63
1539796419,63
1539796422,63
1539796425,63
1539796428,63
1539796431,63
1539796434,63
1539796437,63
1539796440,63
1539796443,63
1539796446,63
1539796449,63
1539796452,63
1539796455,63
1539796458,63
1539796461,63
1539796464,63
1539796467,63
1539796470,63
1539796473,63
1539796476,63
1539796479,63
1539796482,63
1539796485,63
1539796488,63
1539796491,63
1539796494,63
1539796497,63
1539796500,63
1539796503,63
1539796506,63
1539796509,63
1539796512,63
1539796515,63
1539796518,63
1539796521,63
1539796524,63
1539796527,63
1539796530,63
1539796533,63
1539796536,63
1539796539,63
1539796542,63
1539796545,63
1539796548,63
1539796551,63
1539796554,63
1539796557,63
1539796560,63
1539796563,63
1539796566,63
1539796569,63
1539796572,63
1539796575,63
1539796578,63
1539796581,63
1539796584,63
1539796587,63
1539796590,63
1539796593,63
1539796596,63
1539796599,63
1539796602,63
1539796605,63
1539796608,63
1539796611,63
1539796614,63
1539796617,63
1539796620,63
1539796623,63
1539796626,63
1539796629,63
1539796632,63
1539796635,63
1539796638,63
1539796641,63
1539796644,63
1539796647,63
1539796650,63
1539796653,63
1539796656,63
1539796659,63
1539796662,63
1539796665,63
1539796668,63
1539796671,63
1539796674,63
1539796677,63
1539796680,63
1539796683,63
1539796686,63
1539796689,63
1539796692,63
1539796695,63
1539796698,63
1539796701,63
1539796704,63
1539796707,63
1539796710,63
1539796713,63
1539796716,63
1539796719,63
1539796722,63
1539796725,63
1539796728,63
1539796731,63
1539796734,63
1539796737,63
1539796740,63
1539796743,63
1539796746,63
1539796749,63
1539796752,63
1539796755,63
1539796758,63
1539796761,63
1539796764,63
1539796767,63
1539796770,63
1539796773,63
1539796776,63
1539796779,63
1539796782,63
1539796785,63
1539796788,63
1539796791,63
1539796794,63
1539796797,63
1539796800,63
1539796803,63
1539796806,63
1539796809,63
1539796812,63
1539796815,63
1539796818,63
1539796821,63
1539796824,63
1539796827,63
1539796830,63
1539796833,63
1539796836,63
1539796839,63
1539796842,63
1539796845,63
1539796848,63
1539796851,63
1539796854,63
1539796857,63
1539796860,63
1539796863,63
1539796866,63
1539796869,63
1539796872,63
1539796875,63
1539796878,63
1539796881,63
1539796884,63
1539796887,63
1539796890,63
1539796893,63
1539796896,63
1539796899,63
1539796902,63
1539796905,63
1539796908,63
1539796911,63
1539796914,63
1539796917,63
1539796920,63
1539796923,63
1539796926,63
1539796929,63
1539796932,63
1539796935,63
1539796938,63
1539796941,63
1539796944,63
1539796947,63
1539796950,63
1539796953,63
1539796956,63
1539796959,63
1539796962,63
1539796965,63
1539796968,63
1539796971,63
1539796974,63
1539796977,63
1539796980,63
1539796983,63
1539796986,63
1539796989,63
1539796992,63
1539796995,63
1539796998,63
1539797001,63
1539797004,63
1539797007,63
1539797010,63
1539797013,63
1539797016,63
1539797019,63
1539797022,63
1539797025,63
1539797028,63
1539797031,63
1539797034,63
1539797037,63
1539797040,63
1539797043,63
1539797046,63
1539797049,63
1539797052,63
1539797055,63
1539797058,63
1539797061,63
1539797064,63
1539797067,63
1539797070,63
1539797073,63
1539797076,63
1539797079,63
1539797082,63
1539797085,63
1539797088,63
1539797091,63
1539797094,63
1539797097,63
1539797100,63
1539797103,63
1539797106,63
1539797109,63
1539797112,63
1539797115,64
1539797118,64
1539797121,64
1539797124,64
1539797127,64
1539797130,64
1539797133,64
1539797136,64
1539797139,64
1539797142,64
1539797145,64
1539797148,64
1539797151,64
1539797154,64
1539797157,64
1539797160,64
1539797163,64
1539797166,64
1539797169,64
1539797172,64
1539797175,64
1539797178,64
1539797181,64
1539797184,64
1539797187,64
1539797190,64
1539797193,64
1539797196,64
1539797199,64
1539797202,64
1539797205,64
1539797208,64
1539797211,64
1539797214,64
1539797217,64
1539797220,64
1539797223,64
1539797226,64
1539797229,64
1539797232,64
1539797235,64
1539797238,64
1539797241,64
1539797244,64
1539797247,64
1539797250,64
1539797253,64
1539797256,64
1539797259,64
1539797262,64
1539797265,64
1539797268,64
1539797271,64
1539797274,64
1539797277,64
1539797280,64
1539797283,64
1539797286,64
1539797289,64
1539797292,64
1539797295,64
1539797298,64
1539797301,64
1539797304,64
1539797307,64
1539797310,64
1539797313,64
1539797316,64
1539797319,64
1539797322,64
1539797325,64
1539797328,64
1539797331,64
1539797334,64
1539797337,64
1539797340,64
1539797343,64
1539797346,64
1539797349,64
1539797352,64
1539797355,64
1539797358,64
1539797361,64
1539797364,64
1539797367,64
1539797370,64
1539797373,64
1539797376,64
1539797379,64
1539797382,64
1539797385,64
1539797388,64
1539797391,64
1539797394,64
1539797397,64
1539797400,64
1539797403,64
1539797406,64
1539797409,64
1539797412,64
1539797415,64
1539797418,64
1539797421,64
1539797424,64
1539797427,64
1539797430,64
1539797433,64
1539797436,64
1539797439,64
1539797442,64
1539797445,64
1539797448,64
1539797451,64
1539797454,64
1539797457,64
1539797460,64
1539797463,64
1539797466,64
1539797469,64
1539797472,64
1539797475,64
1539797478,64
1539797481,64
1539797484,64
1539797487,64
1539797490,64
1539797493,64
1539797496,64
1539797499,64
1539797502,64
1539797505,64
1539797508,64
1539797511,64
1539797514,64
1539797517,64
1539797520,64
1539797523,64
1539797526,64
1539797529,64
1539797532,64
1539797535,64
1539797538,64
1539797541,64
1539797544,64
1539797547,64
1539797550,64
1539797553,64
1539797556,64
1539797559,64
1539797562,64
1539797565,64
1539797568,64
1539797571,64
1539797574,64
1539797577,64
1539797580,64
1539797583,64
1539797586,64
1539797589,64
1539797592,64
1539797595,64
1539797598,64
1539797601,64
1539797604,64
1539797607,64
1539797610,64
1539797613,64
1539797616,64
1539797619,64
1539797622,64
1539797625,64
1539797628,64
1539797631,64
1539797634,64
1539797637,64
1539797640,64
1539797643,64
1539797646,64
1539797649,64
1539797652,64
1539797655,64
1539797658,64
1539797661,64
1539797664,64
1539797667,64
1539797670,64
1539797673,64
1539797676,64
1539797679,64
1539797682,64
1539797685,64
1539797688,64
1539797691,64
1539797694,64
1539797697,64
1539797700,64
1539797703,64
1539797706,64
1539797709,64
1539797712,64
1539797715,64
1539797718,64
1539797721,64
1539797724,64
1539797727,64
1539797730,64
1539797733,64
1539797736,64
1539797739,64
1539797742,64
1539797745,64
1539797748,64
1539797751,64
1539797754,64
1539797757,64
1539797760,64
1539797763,64
1539797766,64
1539797769,64
1539797772,64
1539797775,64
1539797778,64
1539797781,64
1539797784,64
1539797787,64
1539797790,64
1539797793,64
1539797796,64
1539797799,64
1539797802,64
1539797805,64
1539797808,64
1539797811,64
1539797814,64
1539797817,64
1539797820,64
1539797823,64
1539797826,64
1539797829,64
1539797832,64
1539797835,64
1539797838,64
1539797841,64
1539797844,64
1539797847,64
1539797850,64
1539797853,64
1539797856,64
1539797859,64
1539797862,64
1539797865,64
1539797868,64
1539797871,64
1539797874,64
1539797877,64
1539797880,64
1539797883,64
1539797886,64
1539797889,64
1539797892,64
1539797895,64
1539797898,64
1539797901,64
1539797904,64
1539797907,64
1539797910,64
1539797913,64
1539797916,64
1539797919,64
1539797922,64
1539797925,64
1539797928,64
1539797931,64
1539797934,64
1539797937,64
1539797940,64
1539797943,64
1539797946,64
1539797949,64
1539797952,64
1539797955,64
1539797958,64
1539797961,64
1539797964,64
1539797967,64
1539797970,64
1539797973,64
1539797976,64
1539797979,64
1539797982,64
1539797985,64
1539797988,64
1539797991,64
1539797994,64
1539797997,64
1539798000,64
1539798003,64
1539798006,64
1539798009,64
1539798012,64
1539798015,64
1539798018,64
1539798021,64
1539798024,64
1539798027,64
1539798030,64
1539798033,64
1539798036,64
1539798039,64
1539798042,64
1539798045,64
1539798048,64
1539798051,64
1539798054,64
1539798057,64
1539798060,64
1539798063,64
