t,value
1539786673,8350080
1539786676,8686912
1539786679,9078400
1539786682,9219968
1539786685,9432640
1539786688,9397824
1539786691,9688896
1539786694,9758144
1539786697,9803072
1539786700,10342016
1539786703,10862080
1539786706,11115072
1539786709,11114688
1539786712,11099968
1539786715,11151616
1539786718,11165888
1539786721,11181440
1539786724,11195008
1539786727,11206080
1539786730,11281600
1539786733,11329856
1539786736,11356032
1539786739,11381632
1539786742,11383616
1539786745,11388672
1539786748,11388672
1539786751,11389440
1539786754,11389440
1539786757,11389440
1539786760,11401408
1539786763,11392064
1539786766,11392064
1539786769,11395712
1539786772,11366144
1539786775,11365248
1539786778,11357632
1539786781,11337856
t,value
1539786800,8219008
1539786803,8636736
1539786806,8719040
1539786809,9317056
1539786812,9952256
1539786815,10558784
1539786818,10690112
1539786821,10599232
1539786824,10484672
1539786827,10514624
1539786830,10529920
1539786833,10456128
1539786836,10455232
1539786839,10524928
1539786842,11006144
1539786845,11546688
1539786848,13684480
1539786851,15334016
1539786854,15546304
1539786857,15681408
1539786860,15740288
1539786863,16103488
1539786866,16197120
1539786869,16398208
1539786872,16544960
1539786875,16547392
1539786878,16550016
1539786881,16553856
1539786884,16775744
1539786887,16824512
1539786890,16814848
1539786893,16920128
1539786896,16925504
1539786899,16917376
1539786902,17065792
1539786905,17233088
1539786908,17242688
1539786911,17243520
1539786914,17244544
1539786917,17245952
1539786920,17249088
1539786923,17369600
1539786926,17399872
1539786929,17410304
1539786932,17419712
1539786935,17419712
1539786938,17427776
1539786941,17437376
1539786944,17556416
1539786947,17556416
1539786950,17556416
1539786953,17558208
1539786956,17563968
1539786959,17567296
1539786962,17683648
1539786965,17738496
1539786968,17739392
1539786971,17740864
1539786974,17742528
1539786977,17743552
1539786980,17751936
1539786983,17909696
1539786986,17951744
1539786989,17951744
1539786992,17953856
1539786995,17955520
1539786998,17958016
1539787001,17973632
1539787004,18132608
1539787007,18135040
1539787010,18144960
1539787013,18164096
1539787016,18176640
1539787019,18177344
1539787022,18193600
1539787025,18243008
1539787028,18249344
1539787031,18255808
1539787034,18255808
1539787037,18261632
1539787040,18287680
1539787043,18352768
1539787046,18359488
1539787049,18363648
1539787052,18365824
1539787055,18369856
1539787058,18369856
1539787061,18369856
1539787064,18498688
1539787067,18498688
1539787070,18499968
1539787073,18499968
1539787076,18500864
1539787079,18500864
1539787082,18511808
1539787085,18570048
1539787088,18583232
1539787091,18583232
1539787094,18586560
1539787097,18588480
1539787100,18596096
1539787103,18681536
1539787106,18681536
1539787109,18652928
1539787112,18674048
1539787115,18674048
1539787118,18672000
1539787121,18672000
1539787124,18761152
1539787127,18762112
1539787130,18762112
1539787133,18765248
1539787136,18770944
1539787139,18770944
1539787142,18815104
1539787145,18867648
1539787148,18867648
1539787151,18867648
1539787154,18867648
1539787157,18875648
1539787160,18878912
1539787163,18927424
1539787166,18927424
1539787169,18927424
1539787172,18930880
1539787175,18930688
1539787178,18930688
1539787181,18944896
1539787184,19052416
1539787187,19052416
1539787190,19052416
1539787193,19052416
1539787196,19052416
1539787199,19052416
1539787202,19082944
1539787205,19079168
1539787208,19076544
1539787211,19076544
1539787214,19076544
1539787217,19073664
1539787220,19098752
1539787223,19211584
t,value
1539796323,8401280
1539796326,9997440
1539796329,10782336
1539796332,10817088
1539796335,10828992
1539796338,10845120
1539796341,10861120
1539796344,10870720
1539796347,10889344
1539796350,10896064
1539796353,10903872
1539796356,10906368
1539796359,10912704
1539796362,10948096
1539796365,10973120
1539796368,10976640
1539796371,10990080
1539796374,10994880
1539796377,11018688
1539796380,11023744
1539796383,10934848
1539796386,10899520
1539796389,10855424
1539796392,10873280
1539796395,10918656
1539796398,13586816
1539796401,13586816
1539796404,13588032
1539796407,13590080
1539796410,13612480
1539796413,13612480
1539796416,13630272
1539796419,13634944
1539796422,13641728
1539796425,14520576
1539796428,14522048
1539796431,14538176
1539796434,14574016
1539796437,14586560
1539796440,14618240
1539796443,14628416
1539796446,14633792
1539796449,14660480
1539796452,14663040
1539796455,14830912
1539796458,14832576
1539796461,14840704
1539796464,14855744
1539796467,14859968
1539796470,14899392
1539796473,14900544
1539796476,15039360
1539796479,15039360
1539796482,15165184
1539796485,15168384
1539796488,15192576
1539796491,15192576
1539796494,15198912
1539796497,15284672
1539796500,15285632
1539796503,15305600
1539796506,15312704
1539796509,15312704
1539796512,15314176
1539796515,15465408
1539796518,15465408
1539796521,15475840
1539796524,15475840
1539796527,15475840
1539796530,15526080
1539796533,15526080
1539796536,15562752
1539796539,15566400
1539796542,15568320
1539796545,15607424
1539796548,15646976
1539796551,15646976
1539796554,15646976
1539796557,15650816
1539796560,15683648
1539796563,15691072
1539796566,16692288
1539796569,16694144
1539796572,16699456
1539796575,16702720
1539796578,16704064
1539796581,16711616
1539796584,16841408
1539796587,16900160
1539796590,16916416
1539796593,16917504
1539796596,16921216
1539796599,16923328
1539796602,16923328
1539796605,16923584
1539796608,16923584
1539796611,16924672
1539796614,16925248
1539796617,16928000
1539796620,16928000
1539796623,16935680
1539796626,16937600
1539796629,16947264
1539796632,16968448
1539796635,17144384
1539796638,17146432
1539796641,17146432
1539796644,17146432
1539796647,17147008
1539796650,17147008
1539796653,17147008
1539796656,17151616
1539796659,17151616
1539796662,17151616
1539796665,17151616
1539796668,17181824
1539796671,17185472
1539796674,17185472
1539796677,17185472
1539796680,17185472
1539796683,17189632
1539796686,17193408
1539796689,17193408
1539796692,17193408
1539796695,17193408
1539796698,17107328
1539796701,17108928
1539796704,17119360
1539796707,17121984
1539796710,17121984
1539796713,17121984
1539796716,17121984
1539796719,17121984
1539796722,17121984
1539796725,17156608
1539796728,17156608
1539796731,17156608
1539796734,17156608
1539796737,17156608
1539796740,17156608
1539796743,17181440
1539796746,17181440
1539796749,17182400
1539796752,17182400
1539796755,17189056
1539796758,17307520
1539796761,17319360
1539796764,17319360
1539796767,17319360
1539796770,17321472
1539796773,17321472
1539796776,17321472
1539796779,17321472
1539796782,17414656
1539796785,17427456
1539796788,17429120
1539796791,17429120
1539796794,17429120
1539796797,17431488
1539796800,17432768
1539796803,17438912
1539796806,17438912
1539796809,17444416
1539796812,17462592
1539796815,17471872
1539796818,17472768
1539796821,17482048
1539796824,17488128
1539796827,17488128
1539796830,17504128
1539796833,17504128
1539796836,17496320
1539796839,17496320
1539796842,17496320
1539796845,17573120
1539796848,17573120
1539796851,17573120
1539796854,17573120
1539796857,17573120
1539796860,17573120
1539796863,17578752
1539796866,17578752
1539796869,17579456
1539796872,17579456
1539796875,17580160
1539796878,17643072
1539796881,17643072
1539796884,17643072
1539796887,17643072
1539796890,17646464
1539796893,17650112
1539796896,17655232
1539796899,17661184
1539796902,17690112
1539796905,17690112
1539796908,17690112
1539796911,17695040
1539796914,17695040
1539796917,17695040
1539796920,17695040
1539796923,17766016
1539796926,17766016
1539796929,17766016
1539796932,17766016
1539796935,17767808
1539796938,17777216
1539796941,17768896
1539796944,17768896
1539796947,17768896
1539796950,17768896
1539796953,17768896
1539796956,17768896
1539796959,17768896
1539796962,17952256
1539796965,18016768
1539796968,17982336
1539796971,17982336
1539796974,17974080
1539796977,17974080
1539796980,17969728
1539796983,17962240
1539796986,17962496
1539796989,17962496
1539796992,17955392
1539796995,17955392
1539796998,17955392
1539797001,17955392
1539797004,17955392
1539797007,17955392
1539797010,17955392
1539797013,17955392
1539797016,17960384
1539797019,17960384
1539797022,17960384
1539797025,17960384
1539797028,17960384
1539797031,17961984
1539797034,17961984
1539797037,17973248
1539797040,17973248
1539797043,17987904
1539797046,17987904
1539797049,17987904
1539797052,18091264
1539797055,18091264
1539797058,18091264
1539797061,18091264
1539797064,18091264
1539797067,18091264
1539797070,18091264
1539797073,18093504
1539797076,18093504
1539797079,18094528
1539797082,18094528
1539797085,18094528
1539797088,18098432
1539797091,18107392
1539797094,18110080
1539797097,18114048
1539797100,18114048
1539797103,18120384
1539797106,18120384
1539797109,18120384
1539797112,18120384
1539797115,18123904
1539797118,18123904
1539797121,18123904
1539797124,18123904
1539797127,18123904
1539797130,18123904
1539797133,18123904
1539797136,18123904
1539797139,18129344
1539797142,18129344
1539797145,18130752
1539797148,18130752
1539797151,18130752
1539797154,18131328
1539797157,18131328
1539797160,18131328
1539797163,18141504
1539797166,18141504
1539797169,18141504
1539797172,18141504
1539797175,18141504
1539797178,18300544
1539797181,18300544
1539797184,18300544
1539797187,18302464
1539797190,18302464
1539797193,18302464
1539797196,18303936
1539797199,18303936
1539797202,18303936
1539797205,18303936
1539797208,18303936
1539797211,18320320
1539797214,18320320
1539797217,18322368
1539797220,18339456
1539797223,18386624
1539797226,18386624
1539797229,18386624
1539797232,18386624
1539797235,18386624
1539797238,18424896
1539797241,18427392
1539797244,18427392
1539797247,18427392
1539797250,18428160
1539797253,18428160
1539797256,18428160
1539797259,18428160
1539797262,18428160
1539797265,18428160
1539797268,18428160
1539797271,18458432
1539797274,18468672
1539797277,18468672
1539797280,18472512
1539797283,18472512
1539797286,18472512
1539797289,18553344
1539797292,18553344
1539797295,18553344
1539797298,18553344
1539797301,18554240
1539797304,18528704
1539797307,18528704
1539797310,18528704
1539797313,18528704
1539797316,18528704
1539797319,18528704
1539797322,18528704
1539797325,18528704
1539797328,18555072
1539797331,18555072
1539797334,18555072
1539797337,18555072
1539797340,18560896
1539797343,18560896
1539797346,18560896
1539797349,18560896
1539797352,18560896
1539797355,18560896
1539797358,18560896
1539797361,18617152
1539797364,18617152
1539797367,18617152
1539797370,18617152
1539797373,18617152
1539797376,18617152
1539797379,18617152
1539797382,18617152
1539797385,18617152
1539797388,18617152
1539797391,18617152
1539797394,18617152
1539797397,18635648
1539797400,18702016
1539797403,18716096
1539797406,18716096
1539797409,18716096
1539797412,18716096
1539797415,18718656
1539797418,18718656
1539797421,18718656
1539797424,18730240
1539797427,18730240
1539797430,18730240
1539797433,18730240
1539797436,18730240
1539797439,18730240
1539797442,18730240
1539797445,18730240
1539797448,18730240
1539797451,18730240
1539797454,18730880
1539797457,18730880
1539797460,18730880
1539797463,18730880
1539797466,18730880
1539797469,18730880
1539797472,18732800
1539797475,18740672
1539797478,19014080
1539797481,19014080
1539797484,19023168
1539797487,19023168
1539797490,19023168
1539797493,19023168
1539797496,19023168
1539797499,19023168
1539797502,18852608
1539797505,18852608
1539797508,18852608
1539797511,18852608
1539797514,18852608
1539797517,18852608
1539797520,18852608
1539797523,18874240
1539797526,18874240
1539797529,18874240
1539797532,18874240
1539797535,18874240
1539797538,18875072
1539797541,18875584
1539797544,18875584
1539797547,18875584
1539797550,18877888
1539797553,18877888
1539797556,18877888
1539797559,18877888
1539797562,18877888
1539797565,18877888
1539797568,18877888
1539797571,18877888
1539797574,18877888
1539797577,18886784
1539797580,18886784
1539797583,18895488
1539797586,18895488
1539797589,18895488
1539797592,18895488
1539797595,18895488
1539797598,18895488
1539797601,18941248
1539797604,18941248
1539797607,18941248
1539797610,18941248
1539797613,18941248
1539797616,18941248
1539797619,18941248
1539797622,18941248
1539797625,18941248
1539797628,18944832
1539797631,18944832
1539797634,18944832
1539797637,18944832
1539797640,18944832
1539797643,18965184
1539797646,18965184
1539797649,18965184
1539797652,18965184
1539797655,19037824
1539797658,19037824
1539797661,19037824
1539797664,19037824
1539797667,19037824
1539797670,19037824
1539797673,19037824
1539797676,19037824
1539797679,19037824
1539797682,19037824
1539797685,19117504
1539797688,19117504
1539797691,19117504
1539797694,19117504
1539797697,19118400
1539797700,19118400
1539797703,19120064
1539797706,19120064
1539797709,19120064
1539797712,19571968
1539797715,19571968
1539797718,19571968
1539797721,19571968
1539797724,19571968
1539797727,19571968
1539797730,19571968
1539797733,19571968
1539797736,19571968
1539797739,19571968
1539797742,19571968
1539797745,19571968
1539797748,19663296
1539797751,19663296
1539797754,19663296
1539797757,19663296
1539797760,19663296
1539797763,19663296
1539797766,19663296
1539797769,19663296
1539797772,19663296
1539797775,19663296
1539797778,19663296
1539797781,19676352
1539797784,19676352
1539797787,19676352
1539797790,19676352
1539797793,19676352
1539797796,19676352
1539797799,19676352
1539797802,19676352
1539797805,19676352
1539797808,19676352
1539797811,19676352
1539797814,19676352
1539797817,19676352
1539797820,19676352
1539797823,19689088
1539797826,19689088
1539797829,19689088
1539797832,19689088
1539797835,19689088
1539797838,19689088
1539797841,19689088
1539797844,19689088
1539797847,19689088
1539797850,19690112
1539797853,19690112
1539797856,19772928
1539797859,19822400
1539797862,19822400
1539797865,19822400
1539797868,19822400
1539797871,19822400
1539797874,19822400
1539797877,19822400
1539797880,19822400
1539797883,19822400
1539797886,19822400
1539797889,19822400
1539797892,19822400
1539797895,19822400
1539797898,19822400
1539797901,19822400
1539797904,19822400
1539797907,19822400
1539797910,19822400
1539797913,19822400
1539797916,19822400
1539797919,19830528
1539797922,19831744
1539797925,19831744
1539797928,19836224
1539797931,19836224
1539797934,19836224
1539797937,19836224
1539797940,19836224
1539797943,19839744
1539797946,19839744
1539797949,19841984
1539797952,19841984
1539797955,19841984
1539797958,19841984
1539797961,19841984
1539797964,19841984
1539797967,19841984
1539797970,19841984
1539797973,19841984
1539797976,19841984
1539797979,19841984
1539797982,19792512
1539797985,19792512
1539797988,19792512
1539797991,19792512
1539797994,19792512
1539797997,19792512
1539798000,19792512
1539798003,19798784
1539798006,19798784
1539798009,19798784
1539798012,19798784
1539798015,19798784
1539798018,19798784
1539798021,19798784
1539798024,19798784
1539798027,19798784
1539798030,19866240
1539798033,19865536
1539798036,19885760
1539798039,19885760
1539798042,19885760
1539798045,19885760
1539798048,19894336
1539798051,19814720
1539798054,19814720
1539798057,19814720
1539798060,19819520
1539798063,19835904
1539798066,19835904
1539798069,19835904
1539798072,19835904
1539798075,19835904
1539798078,19835904
1539798081,19845184
1539798084,19845184
1539798087,19845184
1539798090,19845184
1539798093,19845184
1539798096,19845184
1539798099,19845184
1539798102,19845184
1539798105,19845184
1539798108,19845184
1539798111,19845184
1539798114,19845184
1539798117,19845184
1539798120,19848000
1539798123,19888832
1539798126,19888832
1539798129,19888832
1539798132,19888832
1539798135,19890560
1539798138,19890560
1539798141,19890560
1539798144,19890560
1539798147,19890560
1539798150,19890560
1539798153,19890560
1539798156,19890560
1539798159,19891200
1539798162,19891200
1539798165,19891200
1539798168,19891200
1539798171,19891200
1539798174,19891200
1539798177,19891200
1539798180,19891200
1539798183,19891200
1539798186,19891200
1539798189,19891200
1539798192,19955328
1539798195,19955328
1539798198,19957760
1539798201,19957760
1539798204,19957760
1539798207,19957760
1539798210,19957760
1539798213,19957760
1539798216,19957760
1539798219,19957760
1539798222,19957760
1539798225,19957760
1539798228,19965312
1539798231,19977728
1539798234,19977728
1539798237,19977728
1539798240,19975360
1539798243,19903488
1539798246,19903488
1539798249,19903488
1539798252,19923520
1539798255,19923520
1539798258,19923520
1539798261,19923520
1539798264,19923520
1539798267,19923520
1539798270,19923520
1539798273,19923520
1539798276,19923520
1539798279,19923520
1539798282,19923520
1539798285,19923520
1539798288,19924288
1539798291,19924288
1539798294,19924288
1539798297,19924288
1539798300,19924288
1539798303,19924288
1539798306,19925312
1539798309,19925312
1539798312,19925312
1539798315,19925312
1539798318,19925312
1539798321,19925312
1539798324,19925312
1539798327,19925312
1539798330,19925312
1539798333,19925312
1539798336,19925312
1539798339,19925312
1539798342,19925312
1539798345,19925312
1539798348,19925312
1539798351,19925312
1539798354,19925312
1539798357,19925312
1539798360,19925312
1539798363,19926208
1539798366,19926208
1539798369,19926208
1539798372,19926208
1539798375,19926208
1539798378,19926208
1539798381,19926208
1539798384,19926208
1539798387,19966976
1539798390,19968000
1539798393,19968000
1539798396,19968000
1539798399,19968000
1539798402,19970304
1539798405,19970304
1539798408,19970304
1539798411,19970304
1539798414,19970304
1539798417,20001984
1539798420,20001984
1539798423,20001984
1539798426,20001984
1539798429,20001984
1539798432,20001984
1539798435,20001984
1539798438,20001984
1539798441,20001984
1539798444,20001984
1539798447,20001984
1539798450,20001984
1539798453,20001984
1539798456,20001984
1539798459,20001984
1539798462,20001984
1539798465,20001984
1539798468,20001984
1539798471,20002560
1539798474,20013440
1539798477,20013440
1539798480,20013440
1539798483,20013440
1539798486,20013440
1539798489,20013440
1539798492,20013440
1539798495,20013440
1539798498,20013440
1539798501,20013440
1539798504,20013440
1539798507,20013440
1539798510,20013440
1539798513,20013440
1539798516,20013440
1539798519,20013440
1539798522,20013440
1539798525,20014208
1539798528,20014208
1539798531,20018048
1539798534,20018944
1539798537,20018944
1539798540,20018944
1539798543,20040192
1539798546,20040192
1539798549,20040192
1539798552,20040192
1539798555,20040192
1539798558,20041536
1539798561,20041536
1539798564,20041536
1539798567,20041536
1539798570,20041536
1539798573,20041536
1539798576,20042880
1539798579,20042880
1539798582,20044608
1539798585,20044608
1539798588,20044608
1539798591,20044608
1539798594,20044608
1539798597,20044608
1539798600,20044608
1539798603,20049664
1539798606,20049664
1539798609,20049664
1539798612,20049664
1539798615,20049664
1539798618,20049664
1539798621,20049664
1539798624,20049664
1539798627,20072064
1539798630,20072064
1539798633,20072064
1539798636,20072064
1539798639,20072064
1539798642,20072064
1539798645,20072064
1539798648,20072064
1539798651,20072064
1539798654,20072064
1539798657,20072064
1539798660,20072064
1539798663,20072768
1539798666,20072768
1539798669,20072768
1539798672,20073408
1539798675,20073408
1539798678,20073408
1539798681,20073408
1539798684,20073408
1539798687,20073408
1539798690,20073408
1539798693,20073408
1539798696,20073408
1539798699,20073408
1539798702,20073408
1539798705,20073408
1539798708,20073408
1539798711,20077376
1539798714,20077376
1539798717,20077376
1539798720,20077376
1539798723,20083328
1539798726,20083328
1539798729,20084544
1539798732,20084544
1539798735,20084544
1539798738,20084544
1539798741,20084544
1539798744,20084544
1539798747,20084544
1539798750,20084544
1539798753,20084544
1539798756,20091456
1539798759,20091456
1539798762,20091456
1539798765,20091456
1539798768,20091456
1539798771,20091456
1539798774,20135232
1539798777,20135232
1539798780,20138176
1539798783,20138176
1539798786,20138176
1539798789,20138176
1539798792,20138176
1539798795,20138176
1539798798,20138176
1539798801,20138176
1539798804,20138176
1539798807,20138176
1539798810,20156672
1539798813,20156672
1539798816,20156672
1539798819,20156672
1539798822,20176960
1539798825,20176960
1539798828,20176960
1539798831,20176960
1539798834,20176960
1539798837,20177792
1539798840,20177792
1539798843,20177792
1539798846,20177792
1539798849,20177792
1539798852,20177792
1539798855,20177792
1539798858,20179648
1539798861,20182208
1539798864,20182208
1539798867,20182208
1539798870,20184512
1539798873,20184512
1539798876,20184512
1539798879,20184512
1539798882,20193600
1539798885,20195584
1539798888,20195584
1539798891,20195584
1539798894,20195584
1539798897,20195584
1539798900,20195584
1539798903,20195584
1539798906,20195584
1539798909,20195584
1539798912,20195584
1539798915,20195584
1539798918,20195584
1539798921,20195584
1539798924,20195584
1539798927,20195584
1539798930,20203200
1539798933,20203200
1539798936,20203200
1539798939,20203200
1539798942,20203200
1539798945,20203200
1539798948,20203200
1539798951,20203200
1539798954,20203200
1539798957,20203200
1539798960,20203200
1539798963,20203200
1539798966,20203200
1539798969,20203200
1539798972,20203200
1539798975,20203200
1539798978,20203200
1539798981,20203200
1539798984,20203200
1539798987,20203200
1539798990,20203200
1539798993,20203200
1539798996,20203200
1539798999,20203200
1539799002,20203200
1539799005,20203200
1539799008,20207872
1539799011,20257856
1539799014,20257856
1539799017,20257856
1539799020,20257856
1539799023,20257856
1539799026,20257856
1539799029,20257856
1539799032,20257856
1539799035,20257856
1539799038,20257856
1539799041,20257856
1539799044,20257856
1539799047,20257856
1539799050,20257856
1539799053,20257856
1539799056,20257856
1539799059,20257856
1539799062,20257856
1539799065,20257856
1539799068,20261056
1539799071,20261056
1539799074,20261056
1539799077,20261056
1539799080,20261056
1539799083,20261056
1539799086,20261056
1539799089,20261056
1539799092,20261056
1539799095,20261056
1539799098,20261056
1539799101,20261696
1539799104,20261696
1539799107,20261696
1539799110,20261696
1539799113,20261696
1539799116,20261696
1539799119,20261696
1539799122,20261696
1539799125,20261696
1539799128,20261696
1539799131,20261696
1539799134,20261696
1539799137,20261696
1539799140,20261696
1539799143,20265920
1539799146,20265920
1539799149,20265920
1539799152,20265920
1539799155,20265920
1539799158,20265920
1539799161,20265920
