t,value
1539786673,4961792
1539786676,5404256
1539786679,5550064
1539786682,5620384
1539786685,5935544
1539786688,6231976
1539786691,6468416
1539786694,6779040
1539786697,7023480
1539786700,7852168
1539786703,8247712
1539786706,8438336
1539786709,8438336
1539786712,8438336
1539786715,8438336
1539786718,8438336
1539786721,8438336
1539786724,8438336
1539786727,8438336
1539786730,8438336
1539786733,8440752
1539786736,8440752
1539786739,8440752
1539786742,8440752
1539786745,8440752
1539786748,8440752
1539786751,8440752
1539786754,8440752
1539786757,8440752
1539786760,8440752
1539786763,8440752
1539786766,8440752
1539786769,8440752
1539786772,8440752
1539786775,8440752
1539786778,8440752
1539786781,8440752
t,value
1539786800,4500056
1539786803,5283968
1539786806,5832760
1539786809,6970224
1539786812,7879984
1539786815,8177872
1539786818,8177872
1539786821,8261984
1539786824,8333440
1539786827,8333440
1539786830,8333440
1539786833,8333440
1539786836,8354688
1539786839,8443592
1539786842,8974688
1539786845,9113760
1539786848,9245592
1539786851,9562984
1539786854,9590280
1539786857,9590280
1539786860,9590832
1539786863,9593928
1539786866,9601136
1539786869,9676688
1539786872,9677232
1539786875,9677232
1539786878,9677232
1539786881,9677232
1539786884,9679344
1539786887,9679344
1539786890,9679344
1539786893,9679344
1539786896,9679344
1539786899,9679344
1539786902,9679344
1539786905,9679344
1539786908,9679344
1539786911,9679344
1539786914,9679344
1539786917,9679344
1539786920,9679344
1539786923,9679344
1539786926,9679344
1539786929,9679344
1539786932,9679344
1539786935,9679344
1539786938,9679344
1539786941,9679344
1539786944,9679344
1539786947,9679344
1539786950,9679344
1539786953,9679344
1539786956,9679344
1539786959,9679344
1539786962,9679344
1539786965,9679344
1539786968,9679344
1539786971,9679344
1539786974,9679344
1539786977,9679344
1539786980,9679344
1539786983,9680360
1539786986,9680360
1539786989,9680360
1539786992,9680360
1539786995,9680360
1539786998,9680360
1539787001,9680360
1539787004,9680360
1539787007,9680360
1539787010,9680360
1539787013,9680360
1539787016,9680360
1539787019,9680360
1539787022,9680360
1539787025,9680360
1539787028,9680360
1539787031,9680360
1539787034,9680360
1539787037,9680360
1539787040,9680360
1539787043,9680360
1539787046,9680360
1539787049,9680360
1539787052,9680360
1539787055,9680360
1539787058,9680360
1539787061,9680360
1539787064,9680360
1539787067,9680360
1539787070,9680360
1539787073,9680360
1539787076,9680360
1539787079,9680360
1539787082,9680360
1539787085,9680912
1539787088,9680912
1539787091,9680912
1539787094,9680912
1539787097,9680912
1539787100,9680912
1539787103,9680912
1539787106,9680912
1539787109,9680912
1539787112,9680912
1539787115,9680912
1539787118,9680912
1539787121,9680912
1539787124,9711824
1539787127,9711824
1539787130,9711824
1539787133,9711824
1539787136,9711824
1539787139,9711824
1539787142,9711824
1539787145,9711824
1539787148,9711824
1539787151,9711824
1539787154,9711824
1539787157,9711824
1539787160,9711824
1539787163,9711824
1539787166,9711824
1539787169,9711824
1539787172,9711824
1539787175,9711824
1539787178,9711824
1539787181,9711824
1539787184,9711824
1539787187,9711824
1539787190,9711824
1539787193,9711824
1539787196,9711824
1539787199,9711824
1539787202,9712352
1539787205,9712352
1539787208,9712352
1539787211,9712352
1539787214,9712352
1539787217,9712352
1539787220,9712352
1539787223,9712352
t,value
1539796323,5471064
1539796326,7898144
1539796329,8184592
1539796332,8185184
1539796335,8185184
1539796338,8185184
1539796341,8185184
1539796344,8185184
1539796347,8185184
1539796350,8185184
1539796353,8185184
1539796356,8185184
1539796359,8185184
1539796362,8185184
1539796365,8185184
1539796368,8185184
1539796371,8185184
1539796374,8185184
1539796377,8185184
1539796380,8185184
1539796383,8185184
1539796386,8185184
1539796389,8185184
1539796392,8185184
1539796395,8355840
1539796398,9609952
1539796401,9609952
1539796404,9609952
1539796407,9609952
1539796410,9609952
1539796413,9609952
1539796416,9609952
1539796419,9609952
1539796422,9609952
1539796425,9616568
1539796428,9616568
1539796431,9616568
1539796434,9616568
1539796437,9616568
1539796440,9616568
1539796443,9616568
1539796446,9616568
1539796449,9616568
1539796452,9616568
1539796455,9617096
1539796458,9617096
1539796461,9617096
1539796464,9617096
1539796467,9617096
1539796470,9617096
1539796473,9617096
1539796476,9617096
1539796479,9617096
1539796482,9617096
1539796485,9617096
1539796488,9617096
1539796491,9617096
1539796494,9617096
1539796497,9617096
1539796500,9617096
1539796503,9617096
1539796506,9617096
1539796509,9617096
1539796512,9617096
1539796515,9617096
1539796518,9617096
1539796521,9617096
1539796524,9617096
1539796527,9617096
1539796530,9617096
1539796533,9617096
1539796536,9617096
1539796539,9617096
1539796542,9617096
1539796545,9617096
1539796548,9617096
1539796551,9617096
1539796554,9617096
1539796557,9617096
1539796560,9617096
1539796563,9617096
1539796566,9618200
1539796569,9618200
1539796572,9618200
1539796575,9618200
1539796578,9618200
1539796581,9618200
1539796584,9618200
1539796587,9618200
1539796590,9618200
1539796593,9618200
1539796596,9618200
1539796599,9618200
1539796602,9618200
1539796605,9622384
1539796608,9622384
1539796611,9622384
1539796614,9622384
1539796617,9622384
1539796620,9622384
1539796623,9622384
1539796626,9622384
1539796629,9622384
1539796632,9622384
1539796635,9622384
1539796638,9622384
1539796641,9622384
1539796644,9622384
1539796647,9622384
1539796650,9622384
1539796653,9622384
1539796656,9622384
1539796659,9622384
1539796662,9622384
1539796665,9622384
1539796668,9622384
1539796671,9622384
1539796674,9622384
1539796677,9622384
1539796680,9622384
1539796683,9622384
1539796686,9622384
1539796689,9622384
1539796692,9622384
1539796695,9622384
1539796698,9622384
1539796701,9622384
1539796704,9622384
1539796707,9622384
1539796710,9622384
1539796713,9622384
1539796716,9622384
1539796719,9622384
1539796722,9622384
1539796725,9622384
1539796728,9622384
1539796731,9622384
1539796734,9622384
1539796737,9622384
1539796740,9622384
1539796743,9622384
1539796746,9622384
1539796749,9622384
1539796752,9622384
1539796755,9622384
1539796758,9622384
1539796761,9622384
1539796764,9622384
1539796767,9622384
1539796770,9622384
1539796773,9622384
1539796776,9622384
1539796779,9622384
1539796782,9622384
1539796785,9622384
1539796788,9622384
1539796791,9622384
1539796794,9622384
1539796797,9622384
1539796800,9622384
1539796803,9622384
1539796806,9622384
1539796809,9622384
1539796812,9622384
1539796815,9622384
1539796818,9622384
1539796821,9622384
1539796824,9622384
1539796827,9622384
1539796830,9622384
1539796833,9622384
1539796836,9622384
1539796839,9622384
1539796842,9622384
1539796845,9622384
1539796848,9622384
1539796851,9622384
1539796854,9622384
1539796857,9622384
1539796860,9622384
1539796863,9622384
1539796866,9622384
1539796869,9622384
1539796872,9622384
1539796875,9622384
1539796878,9622384
1539796881,9622384
1539796884,9622384
1539796887,9622384
1539796890,9622384
1539796893,9622384
1539796896,9622384
1539796899,9622384
1539796902,9622864
1539796905,9622864
1539796908,9622864
1539796911,9622864
1539796914,9622864
1539796917,9622864
1539796920,9622864
1539796923,9669360
1539796926,9669360
1539796929,9671752
1539796932,9671752
1539796935,9671752
1539796938,9671752
1539796941,9671752
1539796944,9671752
1539796947,9671752
1539796950,9671752
1539796953,9671752
1539796956,9671752
1539796959,9671752
1539796962,9672304
1539796965,9672304
1539796968,9672784
1539796971,9672784
1539796974,9672784
1539796977,9672784
1539796980,9672784
1539796983,9672784
1539796986,9672784
1539796989,9672784
1539796992,9672784
1539796995,9672784
1539796998,9672784
1539797001,9672784
1539797004,9672784
1539797007,9672784
1539797010,9672784
1539797013,9672784
1539797016,9672784
1539797019,9672784
1539797022,9672784
1539797025,9672784
1539797028,9672784
1539797031,9672784
1539797034,9672784
1539797037,9672784
1539797040,9672784
1539797043,9672784
1539797046,9672784
1539797049,9672784
1539797052,9672784
1539797055,9672784
1539797058,9672784
1539797061,9672784
1539797064,9672784
1539797067,9672784
1539797070,9672784
1539797073,9672784
1539797076,9672784
1539797079,9672784
1539797082,9672784
1539797085,9672784
1539797088,9672784
1539797091,9672784
1539797094,9672784
1539797097,9672784
1539797100,9672784
1539797103,9672784
1539797106,9672784
1539797109,9672784
1539797112,9672784
1539797115,9657040
1539797118,9657040
1539797121,9657040
1539797124,9657040
1539797127,9657040
1539797130,9657040
1539797133,9657040
1539797136,9657040
1539797139,9657040
1539797142,9657040
1539797145,9657040
1539797148,9657040
1539797151,9657040
1539797154,9657040
1539797157,9657040
1539797160,9657040
1539797163,9657040
1539797166,9657040
1539797169,9657040
1539797172,9657040
1539797175,9657040
1539797178,9657504
1539797181,9657504
1539797184,9657504
1539797187,9657504
1539797190,9657504
1539797193,9657504
1539797196,9657504
1539797199,9657504
1539797202,9657504
1539797205,9657504
1539797208,9657504
1539797211,9657504
1539797214,9657504
1539797217,9657504
1539797220,9657504
1539797223,9657504
1539797226,9657504
1539797229,9657504
1539797232,9657504
1539797235,9657504
1539797238,9657504
1539797241,9657504
1539797244,9657504
1539797247,9657504
1539797250,9657504
1539797253,9657504
1539797256,9657504
1539797259,9657504
1539797262,9657504
1539797265,9657504
1539797268,9657504
1539797271,9657504
1539797274,9657504
1539797277,9657504
1539797280,9657504
1539797283,9657504
1539797286,9657504
1539797289,9658056
1539797292,9658056
1539797295,9658056
1539797298,9658056
1539797301,9658056
1539797304,9658056
1539797307,9658056
1539797310,9658056
1539797313,9658056
1539797316,9658056
1539797319,9658056
1539797322,9658056
1539797325,9658056
1539797328,9658056
1539797331,9658056
1539797334,9658056
1539797337,9658056
1539797340,9658056
1539797343,9658056
1539797346,9658056
1539797349,9658056
1539797352,9658056
1539797355,9658056
1539797358,9658056
1539797361,9658056
1539797364,9658056
1539797367,9658056
1539797370,9658056
1539797373,9658056
1539797376,9658056
1539797379,9658056
1539797382,9658056
1539797385,9658056
1539797388,9658056
1539797391,9658056
1539797394,9658056
1539797397,9658056
1539797400,9658056
1539797403,9658056
1539797406,9658056
1539797409,9658056
1539797412,9658056
1539797415,9658056
1539797418,9658056
1539797421,9658056
1539797424,9658056
1539797427,9658056
1539797430,9658056
1539797433,9658056
1539797436,9658056
1539797439,9658056
1539797442,9658056
1539797445,9658056
1539797448,9658056
1539797451,9658056
1539797454,9658056
1539797457,9658056
1539797460,9658056
1539797463,9658056
1539797466,9658056
1539797469,9658056
1539797472,9658056
1539797475,9658056
1539797478,9658056
1539797481,9658056
1539797484,9658056
1539797487,9658056
1539797490,9658056
1539797493,9658056
1539797496,9658056
1539797499,9658056
1539797502,9658056
1539797505,9658056
1539797508,9658056
1539797511,9658056
1539797514,9658056
1539797517,9658056
1539797520,9658056
1539797523,9658056
1539797526,9658056
1539797529,9658056
1539797532,9658056
1539797535,9658056
1539797538,9658056
1539797541,9658056
1539797544,9658056
1539797547,9658056
1539797550,9658056
1539797553,9658056
1539797556,9658056
1539797559,9658056
1539797562,9658056
1539797565,9658056
1539797568,9658056
1539797571,9658056
1539797574,9658056
1539797577,9658056
1539797580,9658056
1539797583,9658056
1539797586,9658056
1539797589,9658056
1539797592,9658056
1539797595,9658056
1539797598,9658056
